,wifi_a,wifi_b,count,distance,meanTime,maxSpeed
1,79368.0,33.0,2.0,47.52,7.0,7.920000000000001
0,80412.0,5.0,2.0,80.82,33082.5,2.886428571428571
0,49.0,101.0,3.0,54.17,114.0,18.05666666666667
1,101.0,5.0,1.0,82.63,46.0,1.796304347826087
2,5.0,95.0,1.0,39.38,7.0,5.625714285714286
0,99.0,94758.0,6.0,59.51,141.0,8.501428571428571
1,94758.0,120.0,1.0,87.21,568.0,0.1535387323943662
2,120.0,99.0,3.0,40.56,142.66666666666666,40.56
3,94758.0,5.0,2.0,117.96,6.5,39.32
0,84.0,33.0,1.0,130.17,1561.0,0.08338885329916719
1,33.0,22.0,4.0,24.53,130.0,49.06
2,33.0,120.0,1.0,88.04,515.0,0.17095145631067962
3,120.0,99.0,1.0,40.56,533.0,0.07609756097560975
4,99.0,5.0,4.0,59.06,6.5,19.686666666666667
0,52895.0,88.0,3.0,101.4,10.666666666666666,16.900000000000002
1,52895.0,22.0,11.0,120.1,11.090909090909092,60.05
2,22.0,88.0,1.0,202.54,3.0,67.51333333333334
3,88.0,2698.0,2.0,75.33,2.5,37.665
4,2698.0,52895.0,12.0,27.29,5.333333333333333,13.645
5,22.0,2698.0,2.0,134.81,5.5,26.962
6,52895.0,120.0,2.0,51.32,6.5,102.64
0,67649.0,86321.0,20.0,51.24,2.95,102.48
0,14362.0,84.0,16.0,59.74,12.5625,19.913333333333334
0,88518.0,53703.0,26.0,52.24,29.23076923076923,52.24
1,88518.0,92.0,4.0,174.36,317.0,348.72
0,69595.0,32.0,4.0,51.88,14.5,103.76
0,80412.0,99.0,2.0,137.15,19.5,15.238888888888889
1,80412.0,5.0,1.0,80.82,3.0,26.939999999999998
0,80412.0,13.0,3.0,33.55,14.666666666666666,5.591666666666666
1,80412.0,5.0,1.0,80.82,5.0,16.163999999999998
2,5.0,13.0,1.0,114.24,235.0,0.4861276595744681
3,80412.0,99.0,2.0,137.15,6.5,68.575
4,80412.0,22.0,1.0,193.41,517.0,0.374100580270793
0,22055.0,99.0,6.0,100.16,3.6666666666666665,100.16
0,26105.0,30702.0,115.0,13.04,46.678260869565214,26.08
1,26105.0,120.0,1.0,35.2,2.0,17.6
2,120.0,30702.0,1.0,36.42,2.0,18.21
0,54450.0,5.0,23.0,96.86,40.30434782608695,193.72
1,54450.0,49.0,5.0,85.94,2.4,85.94
2,49.0,5.0,1.0,73.03,2.0,36.515
3,54450.0,99.0,4.0,152.71,14.0,152.71
4,99.0,5.0,4.0,59.06,2.25,59.06
5,5.0,22.0,2.0,121.22,3.5,40.406666666666666
6,22.0,54450.0,1.0,207.91,5.0,41.582
7,22.0,32.0,1.0,88.88,1.0,88.88
8,32.0,5.0,1.0,48.84,35.0,1.3954285714285715
9,54450.0,92.0,2.0,150.87,96.0,75.435
10,5.0,66.0,1.0,325.65,69.0,4.719565217391304
11,66.0,54450.0,1.0,417.75,62127.0,0.006724129605485537
0,99.0,5.0,5.0,59.06,89.2,19.686666666666667
1,5.0,95.0,6.0,39.38,6.5,7.876
2,5.0,22.0,8.0,121.22,58.5,40.406666666666666
0,56528.0,88.0,4.0,113.73,5.0,113.73
1,56528.0,49.0,4.0,102.08,4.5,102.08
0,80498.0,88.0,4.0,157.77,2.5,78.885
