wifi,X,Y,parents,ID,restored_x,restored_y
77086,329.0,203.0,88:77738,2_virtual,323.5895,208.748489
44168,264.0,171.0,23449:77738,2_virtual,263.170432,177.010396
17086,208.0,127.0,87392:54272,2_virtual,216.991779,130.219811
47646,260.0,172.0,13568:17196:13702,2_virtual,263.170432,177.010396
36727,269.0,182.0,18641:13702,2_virtual,273.541481,183.542203
4438,254.0,158.0,8318:72974,2_virtual,250.836714,157.262675
89441,368.0,212.0,88:91020,2_virtual,362.971623,211.452847
23417,252.0,167.0,87392:5,2_virtual,253.54014,169.247201
17414,248.0,145.0,87392:120,2_virtual,248.337786,138.117243
60536,219.0,135.0,13568:87392,2_virtual,216.991779,130.219811
92877,343.0,131.0,9048:92,2_virtual,349.636582,164.698011
45524,252.0,157.0,9048:54272,2_virtual,250.836714,157.262675
16685,248.0,157.0,9048:54272:99,2_virtual,250.836714,157.262675
45024,211.0,122.0,87392:22,2_virtual,211.571835,116.146512
44902,261.0,170.0,87392:9048,2_virtual,263.170432,177.010396
71985,242.0,148.0,9048:87392:22,2_virtual,239.844309,158.206684
54112,171.0,105.0,54272:105,2_virtual,172.199352,111.307596
32911,365.0,209.0,2552:41841,2_virtual,362.971623,211.452847
24143,375.0,175.0,90040:13,2_virtual,374.094277,172.594103
72897,364.0,173.0,90040:88,2_virtual,370.982585,179.261752
78345,372.0,189.0,39820:13,2_virtual,367.109121,189.263226
63796,361.0,187.0,88:39820,2_virtual,367.109121,189.263226
65673,335.0,172.0,90040:39820:50132,2_virtual,344.59524,175.541663
16644,302.0,185.0,2344:30620,2_virtual,304.94565,184.788307
36542,295.0,187.0,41841:79123:13702,2_virtual,294.045902,186.563746
42957,276.0,175.0,2344:13702,2_virtual,273.541481,183.542203
66612,297.0,188.0,79123:30620,2_virtual,294.045902,186.563746
1649,306.0,192.0,30620:13702,2_virtual,302.353193,188.696934
29032,225.0,163.0,33:45395,2_virtual,223.092671,167.893645
20522,248.0,221.0,60800:9356,2_virtual,258.780579,213.445753
3558,327.0,209.0,45395:13,2_virtual,323.5895,208.748489
43303,268.0,181.0,4313:33,2_virtual,273.541481,183.542203
60163,199.0,149.0,105:45395,2_virtual,200.588866,148.173807
32638,215.0,161.0,105:59163,2_virtual,215.656135,159.449639
3069,371.0,226.0,4313:13,2_virtual,376.772586,212.234033
15714,232.0,171.0,71721:33,2_virtual,229.198362,168.632237
3527,206.0,157.0,71721:105,2_virtual,206.842275,155.116568
95138,271.0,214.0,59163:71721:45395,2_virtual,271.998577,212.799359
31992,292.0,226.0,51552:4313:45395,2_virtual,301.552546,226.93547
77015,297.0,231.0,51552:4313:71721,2_virtual,301.552546,226.93547
76448,259.0,222.0,71721:9356,2_virtual,261.914261,216.256375
83111,252.0,215.0,45395:9356,2_virtual,257.143707,211.297404
31567,252.0,208.0,60800:45395,2_virtual,255.016972,208.227254
38220,293.0,225.0,60800:4313:59163,2_virtual,299.489077,219.407513
19373,259.0,215.0,60800:71721,2_virtual,258.780579,213.445753
85647,263.0,227.0,60800:51552,2_virtual,267.250157,233.22491
2266,271.0,231.0,51552:59163:9356,2_virtual,272.978859,230.360559
45211,310.0,209.0,12065:30620:45983,2_virtual,307.61367,210.781147
78490,302.0,235.0,72780:45983,2_virtual,304.06843,229.590614
53107,282.0,218.0,12065:72780,2_virtual,279.811783,220.553072
1281,295.0,232.0,4313:9356,2_virtual,301.552546,226.93547
8087,317.0,180.0,41841:83375,2_virtual,306.077556,181.726417
3484,339.0,185.0,2552:83375,2_virtual,337.420496,188.10146
24489,309.0,197.0,18641:91020,2_virtual,309.788537,205.727901
62829,364.0,210.0,2552:41841:91020,2_virtual,362.971623,211.452847
84561,300.0,193.0,18641:41841,2_virtual,299.242245,195.277785
99836,323.0,198.0,2552:18641,2_virtual,323.5895,208.748489
3116,326.0,184.0,91020:83375,2_virtual,337.420496,188.10146
34992,275.0,174.0,5:72974,2_virtual,273.541481,183.542203
2505,282.0,216.0,51552:5,2_virtual,283.720998,215.043212
59068,271.0,152.0,120:72974,2_virtual,279.5192,149.800834
53940,276.0,166.0,120:5:72974,2_virtual,284.986256,152.807715
58365,275.0,204.0,2344:51552,2_virtual,271.616588,208.929101
83009,229.0,140.0,33:72974,2_virtual,222.970679,147.009677
21942,228.0,150.0,33:79123,2_virtual,222.970679,147.009677
54459,271.0,169.0,96699:5230,2_virtual,263.170432,177.010396
48179,226.0,146.0,33:96699,2_virtual,222.970679,147.009677
99842,329.0,191.0,88:5230,2_virtual,337.034725,194.273799
16336,320.0,184.0,88:72974,2_virtual,306.077556,181.726417
63074,331.0,186.0,13:72974,2_virtual,337.420496,188.10146
76863,317.0,189.0,88:96699,2_virtual,304.94565,184.788307
22866,306.0,183.0,88:96699:5230,2_virtual,306.077556,181.726417
59379,340.0,206.0,13:38638,2_virtual,342.238159,205.594444
48781,307.0,186.0,30620:5230,2_virtual,304.94565,184.788307
55457,237.0,161.0,33:38638,2_virtual,239.844309,158.206684
49249,269.0,176.0,79123:38638:72974,2_virtual,263.170432,177.010396
3030,282.0,184.0,5230:38638,2_virtual,273.541481,183.542203
45223,261.0,161.0,96699:72974,2_virtual,256.200862,151.74229
87699,261.0,171.0,79123:96699,2_virtual,263.170432,177.010396
15623,273.0,163.0,5230:72974,2_virtual,279.5192,149.800834
12823,232.0,142.0,25121:99,2_virtual,222.970679,147.009677
19509,251.0,180.0,32:79123,2_virtual,253.54014,169.247201
54979,244.0,150.0,25121:79123,2_virtual,239.844309,158.206684
75701,240.0,152.0,25121:74831,2_virtual,239.844309,158.206684
64876,232.0,149.0,25121:51286,2_virtual,233.021946,153.415407
18264,221.0,140.0,25121:96372,2_virtual,222.970679,147.009677
67350,232.0,155.0,32:25121,2_virtual,233.021946,153.415407
76492,326.0,202.0,84932:5,2_virtual,323.5895,208.748489
76672,255.0,163.0,2344:99,2_virtual,253.54014,169.247201
74028,248.0,170.0,18641:99,2_virtual,253.54014,169.247201
26861,278.0,196.0,99:64102,2_virtual,287.394523,193.228916
58692,282.0,195.0,2344:18641:64102,2_virtual,287.394523,193.228916
80824,221.0,120.0,54272:29230,2_virtual,221.105013,119.973451
12831,230.0,157.0,13568:32,2_virtual,233.021946,153.415407
60297,211.0,122.0,13568:54272,2_virtual,211.571835,116.146512
91849,344.0,142.0,50132:92,2_virtual,349.636582,164.698011
45161,356.0,132.0,30620:92,2_virtual,380.579236,129.452811
20333,329.0,211.0,30620:26858:50132,2_virtual,323.5895,208.748489
85503,224.0,131.0,8318:22,2_virtual,216.991779,130.219811
41151,355.0,211.0,26858:91020,2_virtual,347.233413,210.050467
47028,330.0,236.0,49:26858,2_virtual,326.68936,238.011887
26532,191.0,128.0,105:99062,2_virtual,194.916052,125.424975
87123,229.0,134.0,54272:70233,2_virtual,231.048222,125.269662
83568,226.0,136.0,54272:99062:63927,2_virtual,216.991779,130.219811
40376,248.0,145.0,70233:63927,2_virtual,248.337786,138.117243
91608,250.0,156.0,70233:99062,2_virtual,250.836714,157.262675
79155,336.0,188.0,90040:26858:50132,2_virtual,337.420496,188.10146
39313,269.0,260.0,101:92071,2_virtual,275.06577,264.682845
86258,266.0,196.0,71721:79123,2_virtual,264.577206,200.838141
65098,307.0,183.0,26858:72974,2_virtual,306.077556,181.726417
49113,296.0,212.0,71721:95,2_virtual,294.565218,214.523345
80101,234.0,139.0,79123:22,2_virtual,242.392363,134.597826
82886,249.0,200.0,84:8318,2_virtual,248.309855,201.032938
77653,303.0,189.0,41841:79123,2_virtual,302.353193,188.696934
74729,287.0,176.0,23449:39006,2_virtual,295.605502,173.922491
49097,344.0,206.0,41841:91020:39006,2_virtual,342.238159,205.594444
14840,294.0,176.0,23449:41841,2_virtual,295.605502,173.922491
4160,260.0,184.0,32:13702,2_virtual,263.170432,177.010396
58126,294.0,236.0,30620:101,2_virtual,290.842493,240.474494
48248,278.0,171.0,13568:30620:13702,2_virtual,273.541481,183.542203
34943,286.0,170.0,13568:26858,2_virtual,293.251576,166.883131
37717,315.0,196.0,26858:13702,2_virtual,309.788537,205.727901
5789,353.0,218.0,50132:13,2_virtual,346.41377,220.500919
70420,253.0,167.0,54272:50132,2_virtual,253.54014,169.247201
75669,319.0,211.0,30620:50132,2_virtual,323.5895,208.748489
54955,299.0,172.0,2552:23449:72974,2_virtual,298.582565,174.489873
17869,235.0,136.0,70233:25121:13568,2_virtual,242.392363,134.597826
82985,216.0,148.0,33:51286,2_virtual,210.732191,148.124568
82514,238.0,148.0,33:5230,2_virtual,233.021946,153.415407
86653,308.0,179.0,88:64578,2_virtual,304.882234,179.464997
64309,268.0,206.0,84:5230,2_virtual,268.561728,205.911047
