node_id,x,y
0,13.948791999999999,16.375364000000001
1,23.833359999999999,26.340264999999999
2,35.470789000000003,35.855953
3,40.808571999999998,41.372393000000002
4,47.679195999999997,49.139187
5,54.848543999999997,55.263005
6,62.373877999999998,59.312989999999999
7,75.350316000000007,65.576683000000003
8,89.400006000000005,72.164956000000004
9,98.845842000000005,77.006939000000003
10,115.938322,83.891439000000005
11,130.79051100000001,90.706728999999996
12,142.81371200000001,97.329133999999996
13,155.794434,103.027019
14,172.199352,111.307596
15,185.20747800000001,118.609685
16,194.91605200000001,125.424975
17,197.61644999999999,127.353831
18,213.36877100000001,138.99126000000001
19,222.97067899999999,147.00967700000001
20,233.02194600000001,153.41540699999999
21,239.84430900000001,158.206684
22,244.948061,162.320933
23,253.54014000000001,169.24720099999999
24,263.17043200000001,177.01039599999999
25,273.54148099999998,183.542203
26,287.39452299999999,193.228916
27,295.83133800000002,199.53048799999999
28,309.78853700000002,205.727901
29,323.58949999999999,208.74848900000001
30,335.46353599999998,209.477597
31,341.92134499999997,209.63383400000001
32,347.23341299999998,210.050467
33,362.97162300000002,211.45284699999999
34,376.77258599999999,212.23403300000001
35,389.68820399999998,214.52551399999999
36,399.250741,216.457314
37,169.370486,116.34701
38,166.79601299999999,120.933241
39,164.56857600000001,123.42005899999999
40,164.98855399999999,127.038331
41,281.10319900000002,222.600773
42,279.81178299999999,220.55307199999999
43,276.95301899999998,219.280629
44,274.5136,219.09930199999999
45,272.510628,221.03766200000001
46,270.507656,222.10375999999999
47,268.21393,220.294624
48,265.24177900000001,218.67932400000001
49,261.91426100000001,216.25637499999999
50,258.78057899999999,213.445753
51,257.14370700000001,211.297404
52,255.01697200000001,208.22725399999999
53,253.07861299999999,204.70590000000001
54,250.817193,201.83066700000001
55,248.309855,201.032938
56,246.26876200000001,200.09089499999999
57,242.97870800000001,197.780834
58,240.06115500000001,195.688199
59,235.86137500000001,194.202123
60,231.273923,192.037622
61,227.23567399999999,189.679284
62,225.45433,186.85139100000001
63,224.56801999999999,183.109193
64,222.647682,180.40102400000001
65,217.13286500000001,175.526319
66,213.43990700000001,171.93183999999999
67,208.714754,170.94649100000001
68,204.72636,170.060181
69,197.79578100000001,170.060181
70,192.594516,168.023438
71,190.04888099999999,166.798519
72,185.48322200000001,166.74392499999999
73,180.05752100000001,165.995293
74,174.692306,163.38594699999999
75,169.02219500000001,159.37376
76,161.976877,154.598738
77,158.985581,152.32535300000001
78,154.662183,147.809652
79,149.27785,144.25998100000001
80,144.09293700000001,140.63054099999999
81,139.37276900000001,139.74844899999999
82,134.14797200000001,139.868101
83,127.285448,135.986774
84,122.73030199999999,132.691562
85,119.848849,130.19598400000001
86,116.191909,127.655012
87,111.055532,127.443883
88,107.222978,125.154318
89,103.59353900000001,122.72139799999999
90,100.163067,119.908874
91,225.78426200000001,192.16457800000001
92,224.174105,197.04395500000001
93,223.63247100000001,200.44147599999999
94,223.28779499999999,203.888237
95,195.118954,131.07494299999999
96,192.34063800000001,136.631575
97,189.81063800000001,140.720979
98,192.49203600000001,141.85168899999999
99,196.093096,143.67803699999999
100,198.726035,146.31097600000001
101,200.588866,148.17380700000001
102,204.429543,152.01448300000001
103,206.842275,155.116568
104,208.319458,157.28310400000001
105,208.66413399999999,160.58214599999999
106,208.91171199999999,162.08339100000001
107,206.89289500000001,165.97330700000001
108,234.422616,166.56280000000001
109,233.78760199999999,176.48489699999999
110,234.81950000000001,180.374359
111,239.10584600000001,185.930734
112,240.37587400000001,190.29645600000001
113,247.361031,193.39215100000001
114,253.23491200000001,196.64659900000001
115,259.50567799999999,196.96410599999999
116,261.77006599999999,199.201212
117,264.57720599999999,200.83814100000001
118,265.93374699999998,202.61860200000001
119,268.56172800000002,205.911047
120,271.61658799999998,208.929101
121,273.74488400000001,211.031755
122,276.73522500000001,213.98606799999999
123,280.74884700000001,214.23556199999999
124,283.72099800000001,215.04321200000001
125,285.440157,216.278109
126,271.99857700000001,212.79935900000001
127,269.60308800000001,216.159457
128,267.40627999999998,218.25934599999999
129,264.69257700000003,203.23705799999999
130,264.14337499999999,205.36925400000001
131,261.23583500000001,210.02131700000001
132,213.737177,162.378828
133,217.627093,164.49612400000001
134,223.092671,167.89364499999999
135,225.653122,168.927674
136,229.198362,168.632237
137,232.02177499999999,166.35844900000001
138,215.65613500000001,159.44963899999999
139,218.561262,155.067329
140,220.82627600000001,151.86676499999999
141,266.01457399999998,190.375833
142,294.04590200000001,186.56374600000001
143,298.542306,180.28930199999999
144,295.605502,173.92249100000001
145,293.251576,166.88313099999999
146,292.51177100000001,160.22488200000001
147,289.70159200000001,155.54124300000001
148,284.98625600000003,152.807715
