m,trajs
"7.5-20,178,229,137,47,142+3",[]
"7.5-20,178,229,137,47,142+4",[]
"7.5-20,178,229,137,47,142+5",[]
"7.5-20,178,229,137,47,142+6",[]
"7.5-20,178,229,137,47,142+7",[]
"7.6-204,129,42,183,42,73+1","[[3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0]]"
"7.6-204,129,42,183,42,73+2","[[3179, 0], [3179, 0], [3179, 0], [3179, 0]]"
"7.6-204,129,42,183,42,73+3","[[3097, 4], [3098, 2], [3018, 0], [3018, 4], [3019, 2], [2939, 0], [2939, 2], [2859, 2], [2779, 0], [2779, 3], [2778, 2], [2698, 0], [2698, 2], [2618, 0], [2618, 2], [2538, 3], [2537, 0], [2537, 3], [2536, 2], [2456, 0], [2456, 3], [2455, 2]]"
"7.6-204,129,42,183,42,73+4","[[2375, 0], [2375, 2], [2295, 3], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 3], [2291, 0], [2291, 3], [2290, 3], [2289, 2], [2209, 0], [2209, 2], [2129, 3], [2128, 0], [2128, 2], [2048, 0], [2048, 3], [2047, 3], [2046, 0], [2046, 3], [2045, 2], [1965, 3], [1964, 2], [1884, 0], [1884, 3], [1883, 3], [1882, 0], [1882, 3], [1881, 2], [1801, 3], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 3], [1958, 1]]"
"7.6-204,129,42,183,42,73+5","[[2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]"
"7.6-204,129,42,183,42,73+6","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 1], [2039, 3], [2038, 0], [2038, 4], [2039, 0], [2039, 4], [2040, 1], [2120, 4], [2121, 4], [2122, 1], [2202, 0], [2202, 4], [2203, 1], [2283, 4], [2284, 1], [2364, 0], [2364, 4], [2365, 1], [2445, 4], [2446, 0], [2446, 1], [2526, 4], [2527, 0], [2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 4], [2610, 1], [2690, 0], [2690, 1], [2770, 4], [2771, 4], [2772, 1], [2852, 0], [2852, 4], [2853, 4], [2854, 1], [2934, 0], [2934, 4], [2935, 1], [3015, 4], [3016, 1], [3096, 4]]"
"7.6-204,129,42,183,42,73+7","[[3097, 2], [3017, 3], [3016, 3], [3015, 2], [2935, 3], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 3], [2851, 2], [2771, 2], [2691, 3], [2690, 0], [2690, 3], [2689, 3], [2688, 2], [2608, 0], [2608, 3], [2607, 2], [2527, 0], [2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 3], [2363, 2], [2283, 2], [2203, 3], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 2], [2040, 3], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]"
"7.6-204,129,42,183,42,73+8","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 3], [1958, 1]]"
