m,trajs
"7.6-48,74,38,133,29,213+1","[[832, 3], [831, 3], [830, 0], [830, 1], [870, 0], [870, 0], [870, 0], [870, 0]]"
"7.6-48,74,38,133,29,213+2","[[830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 1], [914, 0], [914, 1], [954, 0], [954, 0], [954, 3], [953, 0], [953, 1], [993, 0], [993, 1], [1033, 0], [1033, 3], [1032, 2], [992, 0], [992, 0], [992, 1], [1032, 0], [1032, 3], [1031, 0], [1031, 0], [1031, 1], [1071, 0], [1071, 0], [1071, 2], [1031, 0], [1031, 0], [1031, 4], [1032, 0], [1032, 2], [992, 0], [992, 0], [992, 4], [993, 1], [1033, 0], [1033, 2], [993, 0], [993, 2], [953, 0], [953, 4], [954, 0], [954, 0], [954, 2], [914, 0], [914, 2], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 1], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0], [870, 0]]"
"7.6-48,74,38,133,29,213+3","[[830, 2], [790, 3], [789, 0], [789, 3], [788, 0], [788, 2], [748, 4], [749, 0], [749, 0], [749, 2], [709, 0], [709, 2], [669, 0], [669, 0], [669, 2], [629, 3], [628, 0], [628, 0], [628, 0], [628, 0], [628, 4], [629, 1], [669, 0], [669, 0], [669, 1], [709, 0], [709, 1], [749, 0], [749, 0], [749, 1], [789, 3], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 1], [914, 0], [914, 1], [954, 0], [954, 0], [954, 3], [953, 0], [953, 1], [993, 0], [993, 1], [1033, 0], [1033, 2], [993, 3], [992, 0], [992, 0], [992, 1], [1032, 0], [1032, 3], [1031, 0], [1031, 0], [1031, 1], [1071, 0], [1071, 0], [1071, 2], [1031, 0], [1031, 0], [1031, 4], [1032, 0], [1032, 2], [992, 0], [992, 0], [992, 1], [1032, 4], [1033, 0], [1033, 2], [993, 0], [993, 2], [953, 0], [953, 4], [954, 0], [954, 0], [954, 2], [914, 0], [914, 2], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 4], [789, 2], [749, 0], [749, 0], [749, 2], [709, 0], [709, 2], [669, 0], [669, 0], [669, 2], [629, 3], [628, 0], [628, 0], [628, 0], [628, 0], [628, 0], [628, 0], [628, 0]]"
"7.6-48,74,38,133,29,213+20","[[789, 0], [789, 4], [790, 2], [750, 0], [750, 0], [750, 0], [750, 2], [710, 0]]"
"7.6-32,50,51,210,96,61+1","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 4], [789, 2], [749, 0], [749, 0], [749, 2], [709, 0], [709, 2], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0]]"
"7.6-32,50,51,210,96,61+2","[[709, 0], [709, 2], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0], [669, 0]]"
"7.6-32,50,51,210,96,61+9","[[749, 0], [749, 2], [709, 0], [709, 2], [669, 0]]"
"7.6-208,151,254,41,36,198+1","[[832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0]]"
"7.6-208,151,254,41,36,198+2","[[830, 1], [870, 0], [870, 0], [870, 1], [910, 0], [910, 0], [910, 0], [910, 0], [910, 0], [910, 0], [910, 0], [910, 0], [910, 2], [870, 0], [870, 0], [870, 2], [830, 0], [830, 4], [831, 4], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0], [832, 0]]"
"7.6-48,74,38,155,214,98+1","[[832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 2], [748, 3], [747, 0], [747, 3], [746, 2], [706, 0], [706, 0], [706, 4], [707, 1], [747, 0], [747, 3], [746, 1], [786, 0], [786, 3], [785, 0], [785, 4], [786, 0], [786, 1], [826, 0], [826, 0], [826, 0], [826, 0], [826, 0], [826, 0], [826, 2], [786, 0], [786, 3], [785, 0], [785, 4], [786, 0], [786, 2], [746, 4], [747, 0], [747, 4], [748, 1], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 0], [832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 3], [787, 2], [747, 0], [747, 3], [746, 2], [706, 0], [706, 2], [666, 3], [665, 0], [665, 0], [665, 4], [666, 1], [706, 0], [706, 4], [707, 1], [747, 0], [747, 1], [787, 3], [786, 0], [786, 3], [785, 0], [785, 4], [786, 0], [786, 1], [826, 0], [826, 0], [826, 0], [826, 0], [826, 0], [826, 0], [826, 2], [786, 0], [786, 3], [785, 0], [785, 4], [786, 0], [786, 4], [787, 2], [747, 0], [747, 4], [748, 1], [788, 0], [788, 4], [789, 0], [789, 1], [829, 4], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 4], [834, 0], [834, 1], [874, 0], [874, 4], [875, 4], [876, 0], [876, 4], [877, 0], [877, 4], [878, 0], [878, 4], [879, 0], [879, 0], [879, 3], [878, 0], [878, 3], [877, 0], [877, 3], [876, 0], [876, 3], [875, 3], [874, 0], [874, 2], [834, 0], [834, 3], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 3], [829, 2], [789, 0], [789, 3], [788, 0], [788, 2], [748, 3], [747, 0], [747, 1], [787, 3], [786, 0], [786, 3], [785, 0], [785, 4], [786, 0], [786, 1], [826, 0], [826, 0], [826, 0], [826, 0], [826, 0], [826, 0], [826, 0], [826, 2], [786, 0], [786, 3], [785, 0], [785, 4], [786, 0], [786, 2], [746, 4], [747, 0], [747, 1], [787, 4], [788, 0], [788, 4], [789, 0], [789, 4], [790, 1], [830, 0], [830, 4], [831, 4], [832, 0], [832, 4], [833, 0], [833, 0], [833, 0], [833, 3], [832, 0], [832, 3], [831, 3], [830, 0], [830, 2], [790, 3], [789, 0], [789, 3], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0], [788, 0]]"
