m,trajs
11,"[[877, 3], [876, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [832, 3], [831, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [788, 2], [789, 3], [789, 0]]"
12,"[[985, 2], [945, 4], [946, 4], [947, 2], [947, 2], [907, 2], [867, 2], [827, 2], [787, 2], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [625, 3], [624, 3], [664, 2], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0]]"
13,"[[460, 1], [420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0]]"
14,"[[914, 2], [874, 0], [874, 0], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [830, 2], [831, 3], [830, 2], [830, 2], [829, 2], [828, 2], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0]]"
15,"[[625, 3], [624, 3], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [663, 2], [623, 0], [622, 4], [623, 0]]"
16,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
17,"[[948, 2], [908, 2], [868, 2], [828, 2], [788, 2], [748, 3], [788, 2], [787, 2], [747, 2], [707, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
18,"[[420, 1], [460, 1], [459, 1], [459, 1], [460, 1], [420, 1], [420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0]]"
19,"[[788, 2], [748, 3], [788, 2], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [705, 2], [705, 2], [665, 3], [664, 2], [624, 3], [664, 2], [664, 2], [624, 3], [623, 0], [663, 2], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0]]"
20,"[[877, 3], [876, 3], [875, 3], [874, 0], [874, 0], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [707, 3], [706, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 0]]"
21,"[[743, 2], [703, 2], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [624, 3], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0]]"
22,"[[558, 1], [598, 3], [597, 1], [637, 1], [637, 1], [677, 1], [717, 1], [677, 1], [717, 1], [757, 1], [797, 1], [837, 1], [877, 3], [876, 3], [875, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [875, 3], [874, 0], [874, 0], [874, 0]]"
23,"[[793, 1], [833, 3], [832, 3], [833, 3], [832, 3], [833, 3], [832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [829, 2], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [747, 2], [707, 3], [747, 2], [707, 3], [706, 3], [707, 3], [706, 0]]"
24,"[[874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [830, 2], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0]]"
25,"[[832, 3], [832, 3], [832, 3], [831, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [789, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [666, 3], [665, 3], [665, 3], [664, 2], [664, 2], [664, 0]]"
26,"[[623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [583, 1], [623, 0], [622, 4], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 0]]"
27,"[[832, 3], [832, 3], [831, 3], [830, 2], [870, 2], [870, 2], [830, 2], [790, 3], [790, 3], [789, 3], [749, 3], [748, 3], [747, 2], [787, 2], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [666, 3], [666, 3], [665, 0]]"
28,"[[625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [663, 2], [623, 0], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0]]"
29,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [624, 3], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [663, 2], [623, 0]]"
30,"[[420, 1], [460, 1], [500, 3], [499, 0], [498, 4], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0]]"
31,"[[499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [539, 2], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0]]"
32,"[[832, 3], [831, 3], [830, 2], [790, 3], [750, 3], [749, 3], [709, 1], [749, 3], [748, 3], [747, 2], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0]]"
33,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [622, 4], [623, 0], [623, 0], [663, 0]]"
34,"[[743, 2], [703, 2], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0]]"
35,"[[989, 3], [988, 2], [948, 2], [948, 2], [908, 2], [868, 2], [828, 2], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0]]"
36,"[[869, 2], [869, 2], [829, 2], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0]]"
37,"[[499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [498, 4], [498, 4], [458, 3], [457, 2], [417, 3], [416, 3], [415, 2], [375, 3], [374, 3], [375, 3], [374, 3], [373, 3], [374, 3], [373, 3], [372, 2], [332, 3], [331, 0]]"
38,"[[623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0]]"
39,"[[1071, 2], [1071, 2], [1071, 2], [1031, 4], [1032, 2], [992, 2], [1032, 2], [992, 2], [952, 4], [953, 4], [954, 2], [953, 4], [954, 2], [914, 2], [914, 2], [874, 0], [874, 0], [874, 0], [914, 2], [914, 2], [874, 0], [874, 0], [874, 0], [874, 0]]"
40,"[[420, 1], [420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [539, 2], [499, 0], [499, 0], [499, 0], [539, 2], [539, 0]]"
41,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [666, 3], [665, 3], [665, 3], [664, 2], [624, 3], [623, 0], [663, 2], [623, 0], [622, 4], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [584, 1], [624, 3], [623, 0]]"
42,"[[541, 3], [541, 3], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [541, 3], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0]]"
43,"[[674, 1], [674, 1], [674, 1], [714, 1], [714, 1], [754, 3], [753, 1], [754, 3], [753, 1], [793, 1], [833, 3], [832, 3], [831, 3], [831, 3], [830, 2], [870, 2], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 0]]"
44,"[[420, 1], [460, 1], [459, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [500, 3], [499, 0], [499, 0], [498, 4], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [539, 2], [499, 0], [499, 0], [499, 0], [499, 0]]"
45,"[[832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [705, 2], [665, 3], [664, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [583, 1], [623, 0]]"
46,"[[832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
47,"[[832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [705, 2], [665, 3], [664, 2], [624, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [583, 0]]"
48,"[[499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [539, 2], [540, 0], [540, 0], [540, 0], [541, 3], [540, 0], [540, 0], [540, 0], [540, 0], [541, 3], [540, 0], [540, 0], [540, 0], [540, 0], [540, 0], [539, 2], [499, 0]]"
49,"[[951, 4], [951, 4], [952, 4], [953, 4], [954, 2], [914, 2], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0]]"
50,"[[832, 3], [831, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [664, 2], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
51,"[[877, 3], [876, 3], [875, 3], [874, 0], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [914, 2], [874, 0], [874, 0]]"
52,"[[499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [499, 0], [499, 0], [459, 1], [499, 0], [459, 1], [499, 0], [498, 4], [499, 0], [500, 3], [499, 0], [499, 0], [499, 0], [498, 4], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0]]"
53,"[[743, 2], [744, 3], [744, 3], [743, 2], [703, 2], [703, 2], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [583, 1], [582, 1], [542, 1], [542, 1], [582, 1], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
54,"[[587, 3], [587, 3], [586, 3], [587, 3], [586, 3], [585, 1], [585, 1], [585, 1], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [623, 0]]"
55,"[[623, 0], [583, 1], [582, 1], [622, 4], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [624, 3], [664, 2], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0]]"
56,"[[832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [666, 3], [665, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0]]"
57,"[[420, 1], [460, 1], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [498, 4], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [459, 1], [499, 0], [499, 0]]"
58,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 0]]"
59,"[[420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [498, 4], [499, 0], [499, 0], [499, 0], [499, 0]]"
60,"[[587, 3], [586, 3], [585, 1], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [583, 1], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [624, 0]]"
61,"[[877, 3], [876, 3], [875, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [914, 2], [874, 0], [874, 0], [874, 0], [874, 0], [914, 2], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [830, 2], [870, 2], [830, 0]]"
62,"[[877, 3], [877, 3], [876, 3], [875, 3], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [831, 3], [832, 3], [831, 3], [830, 2], [830, 2], [790, 3], [789, 3], [790, 3], [830, 2], [790, 3], [789, 3], [788, 2], [787, 2], [788, 2], [748, 0]]"
63,"[[499, 0], [499, 0], [459, 1], [459, 1], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [501, 1], [541, 3], [540, 0], [539, 2], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 0]]"
64,"[[874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [914, 2], [874, 0], [874, 0], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [707, 3], [706, 3], [705, 0]]"
65,"[[420, 1], [380, 1], [380, 1], [420, 1], [420, 1], [420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0]]"
66,"[[985, 2], [945, 4], [946, 4], [947, 2], [907, 2], [947, 2], [907, 2], [867, 2], [827, 2], [827, 2], [787, 2], [786, 2], [746, 2], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [624, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0]]"
67,"[[1071, 2], [1031, 4], [1032, 2], [1033, 2], [1033, 2], [993, 2], [953, 4], [954, 2], [914, 2], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [834, 3], [833, 3], [832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [788, 0]]"
68,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [666, 3], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
69,"[[877, 3], [876, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [834, 3], [833, 0]]"
70,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [705, 2], [665, 3], [705, 2], [665, 3], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [622, 4], [622, 0]]"
71,"[[625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [663, 2], [703, 2], [663, 2], [623, 0], [624, 3], [623, 0], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0]]"
72,"[[743, 2], [744, 3], [744, 3], [744, 3], [743, 2], [703, 2], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0]]"
73,"[[374, 3], [374, 3], [373, 3], [372, 2], [332, 3], [331, 2], [330, 2], [290, 3], [289, 3], [289, 3], [289, 3], [288, 2], [248, 3], [247, 0], [247, 0], [247, 0], [247, 0], [247, 0], [207, 1], [247, 0], [247, 0], [247, 0], [247, 0], [247, 0]]"
74,"[[664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [624, 3], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [583, 1], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
75,"[[788, 2], [748, 3], [747, 2], [748, 3], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [705, 2], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
76,"[[788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [705, 2], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [663, 2], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
77,"[[789, 3], [788, 2], [828, 2], [788, 2], [748, 3], [747, 2], [748, 3], [747, 2], [787, 2], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [583, 1], [623, 0], [624, 3], [624, 3], [623, 0], [623, 0]]"
78,"[[747, 2], [746, 2], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [583, 1], [623, 0]]"
79,"[[499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [539, 2], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [499, 0], [499, 0], [499, 0]]"
80,"[[625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [624, 3], [623, 0]]"
81,"[[832, 3], [831, 3], [831, 3], [830, 2], [790, 3], [830, 2], [790, 3], [789, 3], [788, 2], [789, 3], [788, 2], [748, 3], [748, 3], [747, 2], [707, 3], [706, 3], [746, 2], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0]]"
82,"[[877, 3], [876, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0]]"
83,"[[499, 0], [499, 0], [500, 3], [499, 0], [500, 3], [499, 0], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 0]]"
84,"[[420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [539, 2], [499, 0], [499, 0], [498, 4], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [498, 4], [499, 0], [498, 4], [499, 0], [459, 1], [499, 0], [499, 0], [539, 2], [499, 0]]"
85,"[[788, 2], [748, 3], [747, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [705, 2], [665, 3], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 0]]"
86,"[[1105, 2], [1106, 3], [1106, 3], [1105, 2], [1065, 2], [1065, 2], [1025, 2], [1025, 2], [985, 2], [945, 4], [945, 4], [946, 4], [945, 4], [946, 4], [947, 2], [907, 2], [908, 2], [868, 2], [828, 2], [788, 2], [748, 3], [747, 2], [707, 3], [706, 0]]"
87,"[[832, 3], [832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [749, 3], [748, 3], [747, 2], [707, 3], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
88,"[[587, 3], [586, 3], [585, 1], [625, 3], [624, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [663, 2], [623, 0], [624, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [624, 3], [623, 0]]"
89,"[[460, 1], [459, 1], [459, 1], [499, 0], [499, 0], [539, 2], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [501, 1], [541, 3], [542, 1], [582, 1], [622, 4], [623, 0], [623, 0], [623, 0], [624, 3], [623, 0], [583, 1], [623, 0]]"
90,"[[420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [499, 0], [539, 2], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [540, 0], [541, 0]]"
91,"[[420, 1], [460, 1], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [498, 4], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [498, 4], [499, 0], [459, 1], [499, 0]]"
92,"[[985, 2], [945, 4], [946, 4], [947, 2], [907, 2], [867, 2], [827, 2], [787, 2], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [664, 2], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
