m,trajs
1,"[[832, 3], [832, 3], [831, 3], [830, 2], [790, 3], [789, 3], [788, 2], [748, 3], [747, 2], [707, 3], [706, 3], [705, 2], [665, 3], [664, 2], [664, 2], [624, 3], [584, 1], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
2,"[[587, 3], [586, 3], [585, 1], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 0]]"
3,"[[587, 3], [586, 3], [585, 1], [625, 3], [624, 3], [584, 1], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [663, 2], [703, 2], [743, 2], [703, 2], [663, 2], [703, 0]]"
4,"[[788, 2], [788, 2], [787, 2], [827, 2], [787, 2], [747, 2], [707, 3], [707, 3], [706, 3], [705, 2], [705, 2], [665, 3], [665, 3], [664, 2], [624, 3], [623, 0], [623, 0], [622, 4], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
5,"[[623, 0], [623, 0], [583, 1], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [622, 4], [582, 1], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0]]"
6,"[[420, 1], [460, 1], [459, 1], [499, 0], [500, 3], [499, 0], [499, 0], [498, 4], [499, 0], [499, 0], [499, 0], [499, 0], [500, 3], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [499, 0], [459, 1], [499, 0], [499, 0]]"
7,"[[747, 2], [748, 3], [747, 2], [707, 3], [706, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [625, 3], [624, 3], [624, 3], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [622, 4], [582, 1], [622, 4], [623, 0], [623, 0], [623, 0]]"
8,"[[985, 2], [945, 4], [946, 4], [947, 2], [907, 2], [867, 2], [827, 2], [787, 2], [747, 2], [707, 3], [706, 3], [706, 3], [746, 2], [706, 3], [706, 3], [705, 2], [665, 3], [664, 2], [624, 3], [623, 0], [622, 4], [582, 1], [622, 4], [623, 0]]"
9,"[[877, 3], [876, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [875, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0]]"
10,"[[41, 4], [42, 1], [82, 4], [83, 1], [123, 4], [163, 4], [164, 4], [163, 4], [163, 4], [163, 4], [164, 4], [165, 1], [205, 4], [165, 1], [205, 4], [206, 0], [206, 0], [166, 1], [206, 0], [206, 0], [206, 0], [205, 4], [204, 4], [205, 0]]"
