m,trajs
1,"[[499, 4], [500, 0], [540, 2], [500, 0], [500, 0], [540, 2], [500, 0], [500, 0], [500, 0], [500, 0], [499, 4], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [501, 3], [500, 0], [540, 2], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [499, 4], [500, 0]]"
2,"[[877, 3], [877, 3], [877, 3], [876, 3], [876, 3], [875, 3], [874, 0], [874, 0], [874, 0], [874, 0], [914, 2], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0]]"
3,"[[788, 4], [789, 0], [789, 0], [788, 4], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [829, 2], [789, 0], [789, 0], [789, 0], [788, 4], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [749, 1], [789, 0], [749, 1], [749, 1], [789, 0], [829, 2], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [790, 3], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [829, 2], [869, 2], [829, 2], [789, 0]]"
4,"[[420, 1], [460, 1], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [500, 0], [460, 1], [460, 1], [459, 1], [499, 4], [498, 4], [498, 4], [499, 4], [500, 0], [500, 0], [500, 0], [500, 0], [499, 4], [500, 0], [500, 0], [500, 0], [500, 0]]"
5,"[[985, 2], [945, 4], [985, 2], [945, 4], [946, 4], [947, 2], [907, 2], [867, 2], [827, 2], [787, 2], [747, 3], [746, 2], [706, 3], [705, 2], [705, 2], [706, 0]]"
6,"[[499, 4], [500, 0]]"
7,"[[587, 3], [586, 3], [585, 1], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [583, 1], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [624, 3], [625, 3], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
8,"[[879, 3], [878, 3], [877, 3], [876, 3], [875, 3], [874, 0], [874, 0], [914, 2], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [874, 0], [834, 0]]"
9,"[[985, 2], [1025, 2], [985, 2], [945, 4], [946, 4], [947, 2], [907, 2], [867, 2], [827, 2], [787, 2], [747, 3], [746, 2], [747, 3], [746, 2], [706, 3], [705, 2], [665, 3], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [664, 0], [624, 3], [623, 0], [623, 0], [663, 2], [623, 0], [624, 3], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [622, 4], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
10,"[[832, 3], [831, 3], [830, 3], [829, 2], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [788, 4], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [749, 1], [789, 0], [789, 0], [788, 4], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [789, 0], [790, 3], [789, 0], [789, 0], [789, 0], [788, 4], [787, 2], [747, 3], [746, 2], [706, 3], [706, 3], [705, 2], [665, 3], [664, 0], [664, 0], [663, 2], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0], [623, 0]]"
