cluster_num,noise_num,dbcv,silhouette,calinski,eps,min_samples
8,108,-0.5932819151345792,0.05756135992550459,36.9351428140981,0.62,6
6,159,-0.5425772743020213,0.06150988267442169,49.562964070581494,0.62,7
7,181,-0.5857587372627501,0.15996409377277157,90.17939873051922,0.62,8
7,195,-0.5858629557633707,0.08710168063709188,84.542611898761,0.62,9
7,225,-0.47935870015195614,0.367720331168347,344.66326055192087,0.62,10
7,247,-0.46766640661784364,0.38459622369663565,341.7990480849313,0.62,11
6,271,-0.3020474180409177,0.38915292567067583,395.98438474608133,0.62,12
6,284,-0.3119290100309885,0.3727219117094327,349.574489869637,0.62,13
4,330,-0.3520683028177075,0.4932024832536826,445.2256658337768,0.62,14
6,83,-0.6364544934525121,0.04714904567649375,47.96000619542484,0.64,5
7,99,-0.614141211846504,0.05375841433464906,41.30425909661701,0.64,6
5,139,-0.5497838206327108,-0.003379134103812378,52.669532897035296,0.64,7
5,159,-0.5555376639767187,0.08172340051303022,59.19931095972409,0.64,8
6,172,-0.5987802802965416,0.16527335039260452,107.91524738430745,0.64,9
6,195,-0.6000463061787334,0.16709425912756967,101.17669166068521,0.64,10
6,227,-0.5118334477798011,0.36817193183150865,404.5153043365306,0.64,11
6,241,-0.49753462583451913,0.3713390820708689,411.1497195528205,0.64,12
6,264,-0.37818028388005304,0.36295851362077997,359.80510256591094,0.64,13
6,276,-0.3707298890509582,0.3490173399164762,350.25219482477394,0.64,14
5,78,-0.6578587607529208,0.0055806121262997966,25.652170369442313,0.66,5
6,93,-0.5733728906979682,0.04753354701879792,46.30336295664841,0.66,6
6,113,-0.5962285080659981,0.14042339770842063,44.763510061783876,0.66,7
5,144,-0.5255082417597986,0.008746004872194539,53.63718407894956,0.66,8
5,163,-0.6103516366298458,0.3224907674952886,110.64874366996378,0.66,9
6,182,-0.5985992482338116,0.16572623403740197,102.03542551531052,0.66,10
6,197,-0.6044315760989287,0.09330962023591423,93.78437958261944,0.66,11
6,228,-0.5009143754186083,0.3641238837731605,405.1328488637167,0.66,12
6,251,-0.4422941228861242,0.358146172763975,356.921663325387,0.66,13
6,262,-0.43160999595854727,0.34282482041257073,347.85222328277644,0.66,14
5,65,-0.6266542192426926,-0.006596276794011437,24.79941736411551,0.6799999999999999,5
5,85,-0.4820978977979009,0.046367895228173236,57.182418204388696,0.6799999999999999,6
5,99,-0.48898541439028115,0.16926110718313347,52.27841613510001,0.6799999999999999,7
5,132,-0.621005076100196,0.10646350504297378,53.22015622688591,0.6799999999999999,8
6,148,-0.6071686088173537,0.3017123642750456,94.26671652105536,0.6799999999999999,9
5,160,-0.6097360716876814,0.32136505486679834,111.7532825148764,0.6799999999999999,10
5,177,-0.6138369631300848,0.3346580441454573,105.80036039438933,0.6799999999999999,11
6,204,-0.5049788385164923,0.3674952618772287,408.1978879979496,0.6799999999999999,12
6,219,-0.488790534005696,0.34429518290569155,376.85291529716636,0.6799999999999999,13
6,233,-0.486947894072358,0.3481868718867088,369.59009188034224,0.6799999999999999,14
4,59,-0.6686798874301794,-0.06914696977447823,16.03083504708412,0.7,5
6,69,-0.5811361040938409,0.04985874756981956,52.32883648378594,0.7,6
6,86,-0.5070905308879597,0.04006670638136047,47.018062901791424,0.7,7
4,117,-0.4749289019929111,0.1866424532808337,65.58906173385019,0.7,8
5,130,-0.6458018531653569,0.0626890340295167,56.48123298448008,0.7,9
6,145,-0.6129005510877474,0.1904460428635792,89.10734924703688,0.7,10
5,166,-0.5943019226149425,0.3301626983032398,104.84228359941235,0.7,11
5,197,-0.559315012711806,0.4597450344472879,388.7328645511975,0.7,12
5,205,-0.5577898988828369,0.46631020013320357,396.55699076424327,0.7,13
6,218,-0.5438413402523362,0.3421879017644688,370.3379767277172,0.7,14
4,56,-0.6690500856797281,-0.0693220976536452,16.04334485527757,0.72,5
5,65,-0.6165162307190145,-0.04936821601554247,44.699006712989664,0.72,6
6,80,-0.48898581433707455,0.03793330050239144,46.71216124021913,0.72,7
4,103,-0.43137845187080726,0.18041008588276713,64.38025826877289,0.72,8
5,114,-0.6411797671109991,0.06164984042036812,55.34110051126403,0.72,9
5,131,-0.6349631536097525,0.07461586912343145,55.18622861387228,0.72,10
4,159,-0.36218064588951826,0.24803814465683405,65.01708442857182,0.72,11
6,169,-0.5512745252953524,0.46002748658415027,335.8864149787118,0.72,12
5,195,-0.5599350286079706,0.4599739499447389,388.75854685015616,0.72,13
5,205,-0.5199772876849579,0.4369467718855534,364.8653767438223,0.72,14
2,52,-0.2055965072224272,0.2894375499475154,42.769637567378695,0.74,5
4,62,-0.5325028495763354,-0.02588161415129819,56.09864928114251,0.74,6
5,74,-0.48062875183760595,0.045517700934775474,58.14023244528208,0.74,7
4,98,-0.42892512681390277,0.18173322561620314,65.2431858322656,0.74,8
5,103,-0.6500057236485082,0.05602623544678947,54.87425200148112,0.74,9
5,121,-0.6359812951128971,0.06494028182566434,55.053643119718416,0.74,10
4,145,-0.3642659911620482,0.2381119235131841,66.31688611373288,0.74,11
4,150,-0.3630582909591312,0.23822652265763544,66.25516217068802,0.74,12
5,179,-0.569009914257379,0.4528374778200226,383.5409072447879,0.74,13
5,195,-0.5085312644911879,0.43249557752625106,366.0467578359181,0.74,14
2,46,-0.2069866624815659,0.2891325334256757,42.80745864908481,0.76,5
4,53,-0.5341264576202581,-0.019584105096443722,56.271004714490566,0.76,6
5,63,-0.4797330816977315,0.05323195611122493,62.248775342723306,0.76,7
4,92,-0.43014776741841365,0.18153233422865334,65.29374020230212,0.76,8
4,97,-0.5078476025830505,0.18368951001488956,65.97176398384347,0.76,9
4,113,-0.3673799044546516,0.19299599656126148,65.85593583544568,0.76,10
5,122,-0.6339240240634572,0.06674056249927865,52.07989052143233,0.76,11
4,141,-0.36528243466296817,0.23749287340310485,66.26295282313902,0.76,12
4,158,-0.34599412824657266,0.23529112854526776,59.743727024870665,0.76,13
4,185,-0.5328238952936408,0.30866167918065335,109.239820984405,0.76,14
2,40,-0.20857899411669265,0.28702630866814566,42.65518023507623,0.78,5
3,48,-0.5474063407186328,0.1815833576731441,77.4509421466441,0.78,6
4,55,-0.5290618999722534,-0.02204057574815178,55.597823132735996,0.78,7
5,76,-0.4945366870046625,0.16887962920610725,55.651538348158645,0.78,8
5,87,-0.5183550143727905,0.1727226703470347,55.431326023711215,0.78,9
4,107,-0.36895726376979004,0.18841065560029657,65.06574683479157,0.78,10
4,113,-0.3673833472084112,0.1924058033613446,65.72284317345563,0.78,11
4,129,-0.3631848651484922,0.23046654468253278,69.30126510954378,0.78,12
4,146,-0.3604688027553284,0.22821644954933767,59.73885069646907,0.78,13
4,154,-0.36082827813163104,0.23016124362518953,60.021724769537066,0.78,14
2,34,-0.20975360732173254,0.2881551896634532,42.91734849985595,0.8,5
2,42,-0.05758447220278056,0.28830057089228983,42.77628126081636,0.8,6
4,49,-0.533274871958034,-0.016802509439872635,56.02762829073217,0.8,7
4,58,-0.5413019785136867,0.013291837827458634,52.61067306610801,0.8,8
4,80,-0.5126250814088836,0.17618292753797707,71.63305522026482,0.8,9
4,97,-0.3760296927573224,0.18195205040798654,63.83138994576333,0.8,10
4,101,-0.3750987670259882,0.18381230206345398,64.05380518416105,0.8,11
4,113,-0.3674228394234455,0.2254378633611541,68.75228635034055,0.8,12
4,135,-0.3683864447707828,0.2339342785705823,64.15032220992552,0.8,13
4,139,-0.3698059200832611,0.22464585609304832,60.538240919456975,0.8,14
2,33,-0.2099889576448785,0.2881128878248733,42.92938749030461,0.82,5
2,39,-0.0833358081375694,0.2882897159793436,42.822137482130046,0.82,6
3,45,-0.548076284321551,0.004699233174897033,23.944667382605804,0.82,7
3,56,-0.5502708979672853,0.007140647146714061,23.97911370708858,0.82,8
4,71,-0.5100833506711403,0.17841029715557422,73.58815974957098,0.82,9
4,87,-0.37589872563312704,0.18269006203260224,65.25193262182235,0.82,10
4,94,-0.3767728470011321,0.18094087209364834,63.65260789413039,0.82,11
4,103,-0.34580057621797167,0.22215067897374652,67.98025601197321,0.82,12
4,126,-0.36926100356505565,0.23117539444765392,65.67612895678354,0.82,13
4,136,-0.3705975683921319,0.22318080564459392,60.41749130294334,0.82,14
2,29,-0.21063960224987618,0.2880730592835958,42.999103177556734,0.84,5
2,34,-0.20943641382132816,0.28871952374895943,42.97231521536699,0.84,6
3,39,-0.547359855091862,0.012039573880163884,24.466756793117806,0.84,7
3,47,-0.550438484175922,0.013736047563175525,24.52618195027599,0.84,8
3,57,-0.5220183864863905,0.1585565673664715,47.5671144575591,0.84,9
4,63,-0.6493821693839673,0.16880612242401827,62.74104215165476,0.84,10
