mac,数据量,平均活跃时刻,移动距离,中间时刻,持续时间,id,cluster
"7.6-32,50,51,210,96,61",0.38461538461538464,7.549948348828685,0.0,5.147716567509994,9.998726026128047,0,1
"7.6-48,74,38,133,29,213",1.5384615384615385,3.3932975662856713,0.0,5.147716567509994,9.998726026128047,0,1
"7.6-48,74,38,155,214,98",4.743589743589744,0.6271575437937731,1.3703139040618717,5.148565269420422,9.999884184193458,0,1
"7.6-208,151,254,41,36,198",0.38461538461538464,3.4970486631788242,0.0,5.145509942542881,9.995714815157973,0,1
"7.6-204,129,42,183,42,73",5.769230769230768,1.8460899825290515,4.992578980846702,5.147716567509994,9.998726026128047,0,1
"7.6-88,198,240,41,58,135",1.9230769230769231,0.0,0.0,5.142709226238468,9.991661261929027,0,1
"7.6-184,148,54,32,44,55",0.7692307692307693,8.205711323639948,0.0,5.145509942542881,9.99548318354489,0,1
"7.6-20,178,229,137,47,142",0.2564102564102564,4.458668325428298,0.0,5.147122476172694,9.997683683869173,0,1
"7.6-164,201,57,205,13,69",0.1282051282051282,4.193050825493093,0.0,5.1476316973189515,9.996988789029926,0,1
"7.6-208,151,254,40,222,169",0.0,4.944892828447763,0.0,5.146613255026438,9.991892893542111,0,1
"7.6-4,207,140,11,128,186",0.7692307692307693,3.0667019153513215,0.0,5.1488198799935505,9.994904104512184,0,1
"7.6-156,95,90,12,124,73",9.487179487179487,1.4465464729052315,0.0,5.14788630789208,9.993398499027148,0,1
"7.6-140,206,78,224,75,99",1.4102564102564101,2.6558321886150207,0.0,5.141011822417613,9.954831835448902,0,1
"7.6-164,201,57,9,43,253",0.7692307692307693,0.7949283363139208,0.0,0.06543491729399875,3.0058834429722965,0,2
"7.6-164,125,159,153,152,106",0.5128205128205128,2.1455044967991093,0.6119564229678016,5.319493834180622,9.603794125822292,0,1
"7.6-20,94,105,93,76,199",1.5384615384615385,3.382422310343935,0.9994648788909865,5.620104050854219,9.3540952469193,0,1
"7.6-24,208,197,242,97,13",0.38461538461538464,1.6209892587779229,0.8894116696788261,1.8747825201354527,0.530783841378671,0,2
"7.7-32,50,51,210,96,61",0.5128205128205128,6.635689293212038,0.0,5.1480560482741655,9.999420920967294,0,1
"7.7-48,74,38,155,214,98",4.871794871794871,0.17320630971202472,0.1465525074967438,5.14848039922938,10.0,0,1
"7.7-208,151,254,41,36,198",0.0,4.967161703340851,0.0,5.13125175044769,9.976257759659038,0,1
"7.7-204,129,42,183,42,73",5.256410256410256,2.1287662096432793,4.657068142120088,5.1315912312118614,9.976721022885204,0,1
"7.7-48,74,38,133,29,213",0.5128205128205128,1.9661094264313306,0.0,5.14788630789208,9.99895765774113,0,1
"7.7-20,178,229,137,47,142",0.38461538461538464,2.553023722512877,0.0,5.148140918465208,9.99814694709534,0,1
"7.7-64,140,31,52,191,11",0.7692307692307693,1.208042920457197,0.0,5.152893649163605,9.98818678773279,0,1
"7.7-240,98,90,159,90,25",1.794871794871795,1.7060547679317613,2.7827812162394103,5.137786755157987,9.949272676734921,0,1
"7.7-88,198,240,41,58,135",6.538461538461538,0.6547644864789726,3.5660773603384377,5.16367216342604,9.932942648012602,0,1
"7.7-164,201,57,9,43,253",1.794871794871795,2.7674502587495367,0.874872530113183,5.161889889414141,9.903409617344574,0,1
"7.7-164,204,185,229,56,107",0.2564102564102564,2.0974764360815215,1.6053633270397702,5.153827221265075,9.863684795700916,0,1
"7.7-64,140,31,142,167,149",4.743589743589744,2.4628362168856115,2.4129418535383613,5.280793027065104,9.770105624015565,0,1
"7.7-164,125,159,153,152,106",1.0256410256410255,1.5126385541127794,0.0,2.8166719003284473,6.395464653015843,0,2
"7.7-8,74,207,99,147,223",3.076923076923077,1.545551149469975,0.32506083216380754,0.6052942025172499,3.076415269155934,0,2
"7.8-32,50,51,210,96,61",0.7692307692307693,6.997651815566441,0.0,5.1483106588472936,9.99907347354767,0,1
"7.8-48,74,38,133,29,213",0.5128205128205128,5.497467796698029,0.40951909776561685,5.1483106588472936,9.99907347354767,0,1
"7.8-48,74,38,155,214,98",2.564102564102564,3.7559892526069345,0.19880254031077407,5.148650139611465,9.999536736773836,0,1
"7.8-20,178,229,137,47,142",4.102564102564102,5.130079741509647,0.0,5.146528384835395,9.995946446771054,0,1
"7.8-64,140,31,52,191,11",0.38461538461538464,3.307736567918514,0.0,5.1273477216597225,9.96838228481423,0,1
"7.8-64,140,31,142,167,149",0.5128205128205128,1.7144130834823625,0.0,0.7992225890500475,4.058649124432502,0,2
"7.8-92,102,108,72,204,105",0.38461538461538464,4.764342549087127,0.0,5.153827221265076,9.991545446122487,0,1
"7.8-156,95,90,12,124,73",1.4102564102564101,4.2161850210369,0.0,5.159683264447029,9.983554155471138,0,1
"7.8-204,129,42,183,42,73",3.8461538461538463,3.0530678704885266,0.19880254031077407,5.058942347679224,9.83496247567868,0,1
"7.8-8,250,121,45,167,67",0.8974358974358975,1.6754095656824846,0.5767192027705136,0.26759571235794855,3.2824515889928656,0,2
"7.8-88,198,240,41,58,135",2.8205128205128203,4.710149348357885,1.176408226729804,5.1692735960348655,9.95842212545168,0,1
"7.8-220,114,155,222,161,114",3.4615384615384617,3.08098920383622,3.9544440293609835,0.8268902713300008,4.031548225701844,0,2
"7.8-208,151,254,40,222,169",1.4102564102564101,3.446829259864016,0.13998970144280765,5.178015225712274,9.951820624478827,0,1
"7.8-132,65,103,218,221,212",0.38461538461538464,2.100063314339033,0.3267267752390375,0.8868934963972598,3.9994672472899095,0,2
"7.8-124,218,195,126,234,181",0.1282051282051282,4.334874944923931,0.6529992023666487,5.173856586351176,9.847702214398222,0,1
"7.8-164,125,159,153,152,106",1.0256410256410255,1.9346966280486235,0.0,4.89446391743828,9.455318261836375,0,1
"7.8-184,148,54,32,44,55",0.1282051282051282,3.984710364668378,0.0,4.242066758892274,8.53585657370518,0,1
"7.8-128,214,5,75,8,213",4.615384615384616,0.9171749215975955,3.448906030713932,5.202203230159471,9.837510423422588,0,1
