m,trajs,cluster
"7.6-248,45,124,72,127,16+3","[[2527, 0], [2527, 2], [2447, 3], [2446, 0], [2446, 3], [2445, 3], [2444, 2], [2364, 0], [2364, 2], [2284, 3], [2283, 2], [2203, 3], [2202, 0], [2202, 3], [2201, 2], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]",2
"7.6-248,45,124,72,127,16+4","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 4], [1801, 1], [1881, 4], [1882, 0], [1882, 4], [1883, 4], [1884, 0], [1884, 1], [1964, 4], [1965, 1], [2045, 4], [2046, 0], [2046, 4], [2047, 4], [2048, 0], [2048, 1], [2128, 0], [2128, 1], [2208, 4], [2209, 0], [2209, 4], [2210, 1], [2290, 4], [2291, 0], [2291, 4], [2292, 0], [2292, 4], [2293, 0], [2293, 4], [2294, 0], [2294, 4], [2295, 1], [2375, 0]]",2
"7.6-248,45,124,72,127,16+5","[[2375, 0], [2375, 3], [2374, 2], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 3], [2291, 1], [2371, 0], [2371, 1], [2451, 0], [2451, 1], [2531, 3], [2530, 0], [2530, 3], [2529, 1], [2609, 3], [2608, 0], [2608, 3], [2607, 2]]",2
"7.6-248,45,124,72,127,16+6","[[2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 4], [2610, 2], [2530, 0], [2530, 4], [2531, 2], [2451, 0], [2451, 2], [2371, 0], [2371, 4], [2372, 2], [2292, 0], [2292, 4], [2293, 0], [2293, 4], [2294, 0], [2294, 4], [2295, 1], [2375, 0]]",2
"7.6-248,45,124,72,127,16+7","[[2375, 0], [2375, 3], [2374, 2], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 1], [2372, 3], [2371, 0], [2371, 1], [2451, 0], [2451, 1], [2531, 3], [2530, 0], [2530, 3], [2529, 3], [2528, 1], [2608, 0], [2608, 3], [2607, 2]]",2
"7.7-8,250,121,45,167,67+2","[[3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0]]",2
"7.7-8,250,121,45,167,67+7","[[3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4], [3344, 0], [3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 4], [3349, 1], [3429, 0], [3429, 4], [3430, 4], [3431, 4], [3432, 0], [3432, 4], [3433, 4], [3434, 4], [3435, 0], [3435, 4], [3436, 4], [3437, 0], [3437, 4], [3438, 4], [3439, 1]]",2
"7.7-8,250,121,45,167,67+9","[[3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0], [3429, 0]]",2
"7.7-164,125,159,153,152,106+2","[[2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0]]",2
"7.7-164,125,159,153,152,106+9","[[2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0], [2123, 0]]",2
"7.7-8,74,207,99,147,223+5","[[2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 2], [2284, 3], [2283, 2], [2203, 3], [2202, 0], [2202, 3], [2201, 2], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",2
"7.7-156,116,3,24,100,145+1","[[3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 3], [3340, 2], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 2], [3098, 3]]",2
"7.7-156,116,3,24,100,145+2","[[3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 1], [3259, 4], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",2
"7.7-156,116,3,24,100,145+3","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 3], [3340, 2], [3260, 2], [3180, 3], [3179, 0], [3179, 3], [3178, 1], [3258, 0], [3258, 1], [3338, 1], [3418, 3], [3417, 0], [3417, 1], [3497, 0], [3497, 1], [3577, 3], [3576, 0], [3576, 1], [3656, 3], [3655, 0], [3655, 1], [3735, 3], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 1], [3891, 3]]",2
"7.7-156,116,3,24,100,145+4","[[3890, 4], [3891, 2], [3811, 0], [3811, 4], [3812, 4], [3813, 2], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 4], [3577, 2], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 4], [3338, 2], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 1], [3259, 4], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",2
"7.7-156,116,3,24,100,145+5","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 3], [3340, 2], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 3], [3177, 2]]",2
"7.7-156,116,3,24,100,145+6","[[3097, 4], [3098, 1], [3178, 4], [3179, 0], [3179, 1], [3259, 4], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",2
"7.7-156,116,3,24,100,145+7","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 2], [3180, 3], [3179, 0], [3179, 1], [3259, 3], [3258, 0], [3258, 1], [3338, 3], [3337, 1], [3417, 0], [3417, 1], [3497, 0], [3497, 3], [3496, 1], [3576, 0], [3576, 3], [3575, 1], [3655, 0], [3655, 1], [3735, 3], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 1], [3891, 3]]",2
"7.7-156,116,3,24,100,145+8","[[3890, 2], [3810, 4], [3811, 0], [3811, 4], [3812, 2], [3732, 4], [3733, 0], [3733, 4], [3734, 0], [3734, 4], [3735, 2], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 2], [3496, 4], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 4], [3180, 1], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",2
"7.7-156,116,3,24,100,145+12","[[2608, 0], [2608, 0]]",2
