m,trajs,cluster
"7.10-48,74,38,153,214,98+14","[[3097, 3], [3096, 2], [3016, 3], [3015, 3], [3014, 2], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 2], [2772, 3], [2771, 2], [2691, 3], [2690, 0], [2690, 3], [2689, 2], [2609, 3], [2608, 0], [2608, 2], [2528, 3], [2527, 0], [2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 3], [2444, 2], [2364, 0], [2364, 2], [2284, 3], [2283, 2], [2203, 3], [2202, 0], [2202, 3], [2201, 2], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",1
"7.10-48,74,54,155,214,98+1","[[4222, 2], [4142, 4], [4143, 0], [4143, 2], [4063, 0], [4063, 4], [4064, 0], [4064, 2], [3984, 0], [3984, 4], [3985, 0], [3985, 1], [4065, 4], [4066, 0], [4066, 4], [4067, 2], [3987, 0], [3987, 2], [3907, 2], [3827, 0], [3827, 4], [3828, 0], [3828, 2], [3748, 4], [3749, 0], [3749, 2], [3669, 2], [3589, 0], [3589, 2], [3509, 2], [3429, 0], [3429, 2], [3349, 3], [3348, 0], [3348, 3], [3347, 0], [3347, 3], [3346, 3], [3345, 3], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 3], [3177, 2]]",1
"7.10-48,74,54,155,214,98+2","[[3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 0], [3097, 4], [3098, 1], [3178, 4], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-48,74,54,155,214,98+3","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 3], [3340, 2], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 1], [3258, 0], [3258, 1], [3338, 1], [3418, 3], [3417, 0], [3417, 1], [3497, 0], [3497, 3], [3496, 1], [3576, 0], [3576, 1], [3656, 3], [3655, 0], [3655, 1], [3735, 3], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 3], [3810, 1], [3890, 0], [3890, 1], [3970, 3], [3969, 0], [3969, 3], [3968, 1], [4048, 0], [4048, 1], [4128, 4], [4129, 0], [4129, 1], [4209, 4], [4210, 0], [4210, 4], [4211, 1], [4291, 0], [4291, 1]]",1
"7.10-48,74,54,155,214,98+4","[[4371, 2], [4291, 0], [4291, 3], [4290, 2], [4210, 0], [4210, 2], [4130, 3], [4129, 0], [4129, 2], [4049, 3], [4048, 0], [4048, 4], [4049, 2], [3969, 0], [3969, 4], [3970, 2], [3890, 0], [3890, 4], [3891, 2], [3811, 0], [3811, 4], [3812, 2], [3732, 4], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 2], [3496, 4], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 1], [3259, 4], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-48,74,54,155,214,98+5","[[3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 1], [3428, 4], [3429, 0], [3429, 1], [3509, 1], [3589, 0], [3589, 1], [3669, 1], [3749, 0], [3749, 3], [3748, 1], [3828, 0], [3828, 3], [3827, 0], [3827, 1], [3907, 1], [3987, 0], [3987, 3], [3986, 1], [4066, 0], [4066, 3], [4065, 2], [3985, 0], [3985, 3], [3984, 0], [3984, 1], [4064, 0], [4064, 3], [4063, 0], [4063, 1], [4143, 0], [4143, 1], [4223, 3]]",1
"7.10-48,74,54,155,214,98+6","[[4222, 4], [4223, 2], [4143, 0], [4143, 2], [4063, 0], [4063, 4], [4064, 0], [4064, 2], [3984, 0], [3984, 4], [3985, 0], [3985, 1], [4065, 4], [4066, 0], [4066, 4], [4067, 2], [3987, 0], [3987, 2], [3907, 2], [3827, 0], [3827, 4], [3828, 0], [3828, 2], [3748, 4], [3749, 0], [3749, 2], [3669, 2], [3589, 0], [3589, 2], [3509, 2], [3429, 0], [3429, 3], [3428, 2], [3348, 0], [3348, 3], [3347, 0], [3347, 3], [3346, 3], [3345, 3], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 2], [3180, 3], [3179, 0], [3179, 3], [3178, 2], [3098, 3], [3097, 0], [3097, 2], [3017, 3], [3016, 3], [3015, 2], [2935, 3], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 2], [2772, 3], [2771, 3], [2770, 2], [2690, 0], [2690, 3], [2689, 2], [2609, 3], [2608, 0], [2608, 3], [2607, 2], [2527, 0], [2527, 2], [2447, 3], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 3], [2363, 2], [2283, 3], [2282, 2], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 4], [1880, 2], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",1
"7.10-48,74,54,155,214,98+7","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 1], [2039, 3], [2038, 0], [2038, 4], [2039, 0], [2039, 1], [2119, 4], [2120, 4], [2121, 1], [2201, 4], [2202, 0], [2202, 4], [2203, 1], [2283, 4], [2284, 1], [2364, 0], [2364, 4], [2365, 4], [2366, 1], [2446, 0], [2446, 4], [2447, 1], [2527, 0], [2527, 1], [2607, 4], [2608, 0], [2608, 4], [2609, 1], [2689, 4], [2690, 0], [2690, 4], [2691, 1], [2771, 1], [2851, 4], [2852, 0], [2852, 4], [2853, 4], [2854, 1], [2934, 0], [2934, 1], [3014, 4], [3015, 4], [3016, 4], [3017, 1], [3097, 0], [3097, 4], [3098, 1], [3178, 4], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4], [3344, 0], [3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 1], [3428, 4], [3429, 0], [3429, 4], [3430, 4], [3431, 4], [3432, 0], [3432, 4], [3433, 4], [3434, 4]]",1
"7.10-48,74,54,155,214,98+8","[[3435, 3], [3434, 3], [3433, 3], [3432, 0], [3432, 3], [3431, 3], [3430, 3], [3429, 0], [3429, 1], [3509, 1], [3589, 0], [3589, 1], [3669, 1], [3749, 0], [3749, 3], [3748, 1], [3828, 0], [3828, 3], [3827, 0], [3827, 1], [3907, 1], [3987, 0], [3987, 1], [4067, 3], [4066, 0], [4066, 2], [3986, 3], [3985, 0], [3985, 3], [3984, 0], [3984, 1], [4064, 0], [4064, 3], [4063, 0], [4063, 1], [4143, 0], [4143, 3], [4142, 1], [4222, 0], [4222, 1], [4302, 3], [4301, 0], [4301, 1], [4381, 3], [4380, 0], [4380, 3], [4379, 3], [4378, 1], [4458, 0], [4458, 3], [4457, 0], [4457, 1], [4537, 3], [4536, 0], [4536, 3], [4535, 0], [4535, 3], [4534, 0], [4534, 3], [4533, 0], [4533, 3], [4532, 0], [4532, 0], [4532, 2], [4452, 2], [4372, 0], [4372, 3]]",1
"7.10-48,74,54,155,214,98+9","[[4371, 0], [4371, 2], [4291, 0], [4291, 2], [4211, 3], [4210, 0], [4210, 2], [4130, 3], [4129, 0], [4129, 3], [4128, 2], [4048, 0], [4048, 2], [3968, 4], [3969, 0], [3969, 4], [3970, 2], [3890, 0], [3890, 2], [3810, 4], [3811, 0], [3811, 4], [3812, 2], [3732, 4], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 2], [3575, 4], [3576, 0], [3576, 4], [3577, 2], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 4], [3338, 2], [3258, 0], [3258, 4], [3259, 2], [3179, 0], [3179, 3], [3178, 2], [3098, 3]]",1
"7.10-48,74,54,155,214,98+10","[[3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 4], [3180, 1], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-48,74,54,155,214,98+11","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 3], [3340, 2], [3260, 3], [3259, 2], [3179, 0], [3179, 1], [3259, 3], [3258, 0], [3258, 1], [3338, 3], [3337, 1], [3417, 0], [3417, 1], [3497, 0], [3497, 3], [3496, 1], [3576, 0], [3576, 1], [3656, 3], [3655, 0], [3655, 3], [3654, 1], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 1], [3891, 3], [3890, 0], [3890, 3], [3889, 1], [3969, 0], [3969, 1], [4049, 3], [4048, 0], [4048, 4], [4049, 1], [4129, 0], [4129, 4], [4130, 1], [4210, 0], [4210, 1], [4290, 4], [4291, 0], [4291, 1]]",1
"7.10-48,74,54,155,214,98+12","[[4371, 2], [4291, 0], [4291, 3], [4290, 2], [4210, 0], [4210, 3], [4209, 2], [4129, 0], [4129, 2], [4049, 3], [4048, 0], [4048, 4], [4049, 2], [3969, 0], [3969, 2], [3889, 4], [3890, 0], [3890, 2], [3810, 4], [3811, 0], [3811, 4], [3812, 4], [3813, 2], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 2], [3575, 4], [3576, 0], [3576, 4], [3577, 2], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 4], [3259, 2], [3179, 0], [3179, 3], [3178, 3], [3177, 2], [3097, 0], [3097, 3], [3096, 2], [3016, 3], [3015, 2], [2935, 3], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 3], [2851, 2], [2771, 3], [2770, 2], [2690, 0], [2690, 3], [2689, 3], [2688, 2], [2608, 0], [2608, 3], [2607, 2], [2527, 0], [2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 2], [2284, 3], [2283, 2], [2203, 3], [2202, 0], [2202, 3], [2201, 2], [2121, 3], [2120, 2], [2040, 3], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 4], [1721, 2]]",1
"7.10-48,74,54,155,214,98+13","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 1], [1880, 3], [1879, 0], [1879, 1], [1959, 3], [1958, 1], [2038, 0], [2038, 4], [2039, 0], [2039, 4], [2040, 1], [2120, 4], [2121, 1], [2201, 4], [2202, 0], [2202, 1], [2282, 4], [2283, 1], [2363, 4], [2364, 0], [2364, 4], [2365, 4], [2366, 1], [2446, 0], [2446, 4], [2447, 1], [2527, 0], [2527, 1], [2607, 4], [2608, 0], [2608, 4], [2609, 4], [2610, 1], [2690, 0], [2690, 4], [2691, 1], [2771, 1], [2851, 4], [2852, 0], [2852, 4], [2853, 4], [2854, 1], [2934, 0], [2934, 4], [2935, 1], [3015, 4], [3016, 4], [3017, 1], [3097, 0], [3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4], [3344, 0], [3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 4], [3349, 1], [3429, 0], [3429, 4], [3430, 4], [3431, 4], [3432, 0], [3432, 4], [3433, 4], [3434, 4]]",1
"7.10-48,74,54,155,214,98+14","[[3435, 3], [3434, 3], [3433, 3], [3432, 0], [3432, 3], [3431, 3], [3430, 3], [3429, 0], [3429, 3], [3428, 2], [3348, 0], [3348, 3], [3347, 0], [3347, 3], [3346, 3], [3345, 3], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 3], [3340, 2], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 3], [3177, 2], [3097, 0], [3097, 2], [3017, 3], [3016, 3], [3015, 3], [3014, 2], [2934, 0], [2934, 1], [3014, 3], [3013, 1], [3093, 0], [3093, 3], [3092, 1], [3172, 3], [3171, 0], [3171, 3], [3170, 0], [3170, 3], [3169, 2], [3089, 0], [3089, 3], [3088, 0], [3088, 3], [3087, 2]]",1
"7.10-48,74,54,155,214,98+15","[[3007, 2], [2927, 3], [2926, 0], [2926, 2], [2846, 0], [2846, 2], [2766, 2], [2686, 0], [2686, 2], [2606, 2], [2526, 4], [2527, 0], [2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 4], [2610, 2], [2530, 0], [2530, 2], [2450, 4], [2451, 0], [2451, 2], [2371, 0], [2371, 4], [2372, 2], [2292, 0], [2292, 4], [2293, 0], [2293, 4], [2294, 0], [2294, 4], [2295, 1], [2375, 0]]",1
"7.10-48,74,54,155,214,98+16","[[2375, 1], [2455, 4], [2456, 0], [2456, 1], [2536, 4], [2537, 0], [2537, 1], [2617, 4], [2618, 0], [2618, 1], [2698, 0], [2698, 1], [2778, 4], [2779, 0], [2779, 1], [2859, 1], [2939, 0], [2939, 1], [3019, 3], [3018, 0], [3018, 3], [3017, 1], [3097, 0], [3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 1], [3259, 3], [3258, 0], [3258, 1], [3338, 3], [3337, 1], [3417, 0], [3417, 1], [3497, 0], [3497, 3], [3496, 1], [3576, 0], [3576, 1], [3656, 3], [3655, 0], [3655, 1], [3735, 3], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 1], [3812, 3], [3811, 0], [3811, 3], [3810, 1], [3890, 0], [3890, 3], [3889, 1], [3969, 0], [3969, 1], [4049, 3], [4048, 0], [4048, 1], [4128, 4], [4129, 0], [4129, 1], [4209, 4], [4210, 0], [4210, 4], [4211, 1], [4291, 0], [4291, 1]]",1
"7.10-48,74,54,155,214,98+17","[[4371, 2], [4291, 0], [4291, 3], [4290, 2], [4210, 0], [4210, 2], [4130, 3], [4129, 0], [4129, 3], [4128, 2], [4048, 0], [4048, 2], [3968, 4], [3969, 0], [3969, 4], [3970, 2], [3890, 0], [3890, 2], [3810, 4], [3811, 0], [3811, 4], [3812, 4], [3813, 2], [3733, 0], [3733, 4], [3734, 0], [3734, 4], [3735, 2], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 4], [3577, 2], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 4], [3259, 2], [3179, 0], [3179, 3], [3178, 3], [3177, 2]]",1
"7.10-48,74,54,155,214,98+18","[[3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 1], [3259, 4], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-48,74,54,155,214,98+19","[[3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 2], [3098, 3]]",1
"7.10-48,74,54,155,214,98+20","[[3097, 4], [3098, 1], [3178, 4], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-48,74,54,155,214,98+21","[[3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0]]",1
"7.10-156,116,3,24,100,145+1","[[3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 1], [3258, 0], [3258, 1], [3338, 3], [3337, 1], [3417, 0], [3417, 1], [3497, 0], [3497, 3], [3496, 1], [3576, 0], [3576, 1], [3656, 3], [3655, 0], [3655, 3], [3654, 1], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 3], [3810, 1]]",1
"7.10-156,116,3,24,100,145+2","[[3890, 4], [3891, 2], [3811, 0], [3811, 4], [3812, 2], [3732, 4], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 2], [3496, 4], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 4], [3338, 2], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-156,116,3,24,100,145+3","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 3], [3259, 2], [3179, 0], [3179, 3], [3178, 3], [3177, 2]]",1
"7.10-156,116,3,24,100,145+5","[[3249, 0], [3249, 0], [3249, 0], [3249, 0], [3249, 0], [3249, 0], [3249, 0]]",1
"7.10-156,116,3,24,100,145+10","[[3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 2], [3180, 3], [3179, 0], [3179, 3], [3178, 2], [3098, 3], [3097, 0], [3097, 3], [3096, 2], [3016, 3], [3015, 2], [2935, 3], [2934, 0], [2934, 1], [3014, 3], [3013, 1], [3093, 0], [3093, 3], [3092, 1], [3172, 3], [3171, 0], [3171, 3], [3170, 0], [3170, 3], [3169, 2], [3089, 0], [3089, 3], [3088, 0], [3088, 3], [3087, 2]]",1
"7.10-156,116,3,24,100,145+14","[[3890, 2], [3810, 4], [3811, 0], [3811, 4], [3812, 4], [3813, 2], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 2], [3496, 4], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 3], [3178, 2], [3098, 3], [3097, 0], [3097, 3], [3096, 2], [3016, 3], [3015, 2], [2935, 3], [2934, 0], [2934, 1], [3014, 3], [3013, 1], [3093, 0], [3093, 3], [3092, 3], [3091, 1], [3171, 0], [3171, 3], [3170, 0], [3170, 3], [3169, 2], [3089, 0], [3089, 3], [3088, 0], [3088, 3], [3087, 2]]",1
"7.10-156,116,3,24,100,145+15","[[3007, 0], [3007, 0], [3007, 1], [3087, 4], [3088, 0], [3088, 4], [3089, 0], [3089, 1], [3169, 4], [3170, 0], [3170, 4], [3171, 0], [3171, 4], [3172, 4], [3173, 2], [3093, 0], [3093, 2], [3013, 2], [2933, 4], [2934, 0], [2934, 4], [2935, 1], [3015, 4], [3016, 1], [3096, 4], [3097, 0], [3097, 4], [3098, 1], [3178, 4], [3179, 0], [3179, 1], [3259, 4], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-156,116,3,24,100,145+16","[[3344, 4], [3345, 4], [3346, 4], [3347, 0], [3347, 4], [3348, 0], [3348, 1], [3428, 4], [3429, 0], [3429, 1], [3509, 1], [3589, 0], [3589, 1], [3669, 1], [3749, 0], [3749, 1], [3829, 3], [3828, 0], [3828, 3], [3827, 0], [3827, 1], [3907, 1], [3987, 0], [3987, 1], [4067, 3], [4066, 0], [4066, 3], [4065, 2], [3985, 0], [3985, 3], [3984, 0], [3984, 1], [4064, 0], [4064, 3], [4063, 0], [4063, 1], [4143, 0], [4143, 3], [4142, 1]]",1
"7.10-156,116,3,24,100,145+18","[[3249, 0], [3249, 0], [3249, 0], [3249, 0], [3249, 0], [3249, 0]]",1
"7.10-156,116,3,24,100,145+19","[[1641, 1], [1721, 1], [1801, 3], [1800, 0], [1800, 4], [1801, 4], [1802, 1], [1882, 0], [1882, 4], [1883, 4], [1884, 0], [1884, 4], [1885, 1], [1965, 4], [1966, 1], [2046, 0], [2046, 4], [2047, 4], [2048, 0], [2048, 1], [2128, 0], [2128, 4], [2129, 1], [2209, 0], [2209, 4], [2210, 1], [2290, 4], [2291, 0], [2291, 4], [2292, 0], [2292, 4], [2293, 0], [2293, 4], [2294, 0], [2294, 4], [2295, 1], [2375, 0]]",1
"7.10-156,116,3,24,100,145+24","[[2375, 0], [2375, 2], [2295, 3], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 3], [2291, 1], [2371, 0], [2371, 1], [2451, 0], [2451, 3], [2450, 1], [2530, 0], [2530, 3], [2529, 1], [2609, 3], [2608, 0], [2608, 3], [2607, 2]]",1
"7.10-156,116,3,24,100,145+27","[[2375, 0], [2375, 2], [2295, 3], [2294, 0], [2294, 3], [2293, 0], [2293, 3], [2292, 0], [2292, 1], [2372, 3], [2371, 0], [2371, 1], [2451, 0], [2451, 1], [2531, 3], [2530, 0], [2530, 3], [2529, 3], [2528, 1], [2608, 0], [2608, 2], [2528, 3]]",1
"7.10-48,72,38,155,214,98+1","[[4371, 2], [4291, 0], [4291, 2], [4211, 3], [4210, 0], [4210, 3], [4209, 2], [4129, 0], [4129, 3], [4128, 2], [4048, 0], [4048, 4], [4049, 2], [3969, 0], [3969, 4], [3970, 2], [3890, 0], [3890, 4], [3891, 2], [3811, 0], [3811, 4], [3812, 2], [3732, 4], [3733, 0], [3733, 4], [3734, 0], [3734, 4], [3735, 2], [3655, 0], [3655, 2], [3575, 4], [3576, 0], [3576, 4], [3577, 2], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 2], [3257, 4], [3258, 0], [3258, 2], [3178, 4], [3179, 0], [3179, 3], [3178, 2], [3098, 3]]",1
"7.10-48,72,38,155,214,98+2","[[3097, 2], [3017, 3], [3016, 3], [3015, 3], [3014, 2], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 2], [2772, 3], [2771, 3], [2770, 2], [2690, 0], [2690, 3], [2689, 3], [2688, 2], [2608, 0], [2608, 2], [2528, 3], [2527, 0], [2527, 3], [2526, 2], [2446, 0], [2446, 3], [2445, 2], [2365, 3], [2364, 0], [2364, 2], [2284, 3], [2283, 2], [2203, 3], [2202, 0], [2202, 3], [2201, 2], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 4], [1959, 2], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",1
"7.10-48,72,38,155,214,98+3","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 1], [2039, 3], [2038, 0], [2038, 4], [2039, 0], [2039, 1], [2119, 4], [2120, 4], [2121, 1], [2201, 4], [2202, 0], [2202, 1], [2282, 4], [2283, 1], [2363, 4], [2364, 0], [2364, 4], [2365, 4], [2366, 1], [2446, 0], [2446, 4], [2447, 1], [2527, 0], [2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 1], [2689, 4], [2690, 0], [2690, 1], [2770, 4], [2771, 1], [2851, 4], [2852, 0], [2852, 4], [2853, 1], [2933, 4], [2934, 0], [2934, 4], [2935, 1], [3015, 4], [3016, 4], [3017, 1], [3097, 0], [3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 4], [3180, 1], [3260, 1], [3340, 4], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
"7.10-48,72,38,155,214,98+4","[[3344, 0], [3344, 0], [3344, 0], [3344, 0], [3344, 3], [3343, 3], [3342, 3], [3341, 0], [3341, 2], [3261, 3], [3260, 2], [3180, 3], [3179, 0], [3179, 3], [3178, 2], [3098, 3], [3097, 0], [3097, 2], [3017, 3], [3016, 3], [3015, 3], [3014, 2], [2934, 0], [2934, 3], [2933, 2], [2853, 3], [2852, 0], [2852, 3], [2851, 2], [2771, 3], [2770, 2], [2690, 0], [2690, 3], [2689, 2], [2609, 3], [2608, 0], [2608, 3], [2607, 2], [2527, 0], [2527, 2], [2447, 3], [2446, 0], [2446, 3], [2445, 3], [2444, 2], [2364, 0], [2364, 3], [2363, 2], [2283, 2], [2203, 3], [2202, 0], [2202, 2], [2122, 3], [2121, 3], [2120, 3], [2119, 2], [2039, 0], [2039, 3], [2038, 0], [2038, 2], [1958, 2], [1878, 4], [1879, 0], [1879, 2], [1799, 4], [1800, 0], [1800, 2], [1720, 2], [1640, 4]]",1
"7.10-48,72,38,155,214,98+5","[[1641, 1], [1721, 3], [1720, 1], [1800, 0], [1800, 3], [1799, 1], [1879, 0], [1879, 1], [1959, 1], [2039, 3], [2038, 0], [2038, 4], [2039, 0], [2039, 1], [2119, 4], [2120, 4], [2121, 4], [2122, 1], [2202, 0], [2202, 1], [2282, 4], [2283, 1], [2363, 4], [2364, 0], [2364, 4], [2365, 1], [2445, 4], [2446, 0], [2446, 4], [2447, 1], [2527, 0], [2527, 4], [2528, 1], [2608, 0], [2608, 4], [2609, 4], [2610, 1], [2690, 0], [2690, 1], [2770, 4], [2771, 1], [2851, 4], [2852, 0], [2852, 4], [2853, 4], [2854, 1], [2934, 0], [2934, 1], [3014, 4], [3015, 4], [3016, 4], [3017, 1], [3097, 0], [3097, 4], [3098, 4], [3099, 1], [3179, 0], [3179, 3], [3178, 1], [3258, 0], [3258, 1], [3338, 1], [3418, 3], [3417, 0], [3417, 1], [3497, 0], [3497, 3], [3496, 1], [3576, 0], [3576, 3], [3575, 1], [3655, 0], [3655, 3], [3654, 1], [3734, 0], [3734, 3], [3733, 0], [3733, 3], [3732, 3], [3731, 1], [3811, 0], [3811, 1], [3891, 3], [3890, 0], [3890, 1], [3970, 3], [3969, 0], [3969, 3], [3968, 1], [4048, 0], [4048, 4], [4049, 1], [4129, 0], [4129, 4], [4130, 1], [4210, 0], [4210, 4], [4211, 1], [4291, 0], [4291, 1]]",1
"7.10-48,72,38,155,214,98+6","[[4371, 2], [4291, 0], [4291, 3], [4290, 2], [4210, 0], [4210, 2], [4130, 3], [4129, 0], [4129, 2], [4049, 3], [4048, 0], [4048, 4], [4049, 2], [3969, 0], [3969, 4], [3970, 2], [3890, 0], [3890, 2], [3810, 4], [3811, 0], [3811, 4], [3812, 4], [3813, 2], [3733, 0], [3733, 4], [3734, 0], [3734, 2], [3654, 4], [3655, 0], [3655, 4], [3656, 2], [3576, 0], [3576, 2], [3496, 4], [3497, 0], [3497, 2], [3417, 0], [3417, 2], [3337, 4], [3338, 2], [3258, 0], [3258, 4], [3259, 2], [3179, 0], [3179, 4], [3180, 1], [3260, 4], [3261, 1], [3341, 0], [3341, 4], [3342, 4], [3343, 4]]",1
