m,trajs
1,"[(1105, np.int64(4), 1105), (1105, np.int64(4), 1065), (1065, np.int64(2), 1064), (1064, np.int64(4), 1065), (1065, np.int64(2), 1025), (1025, np.int64(2), 985), (985, np.int64(2), 945), (945, np.int64(4), 946), (946, np.int64(4), 947), (947, np.int64(2), 907), (907, np.int64(4), 908), (908, np.int64(2), 868), (868, np.int64(2), 828), (828, np.int64(2), 788), (788, np.int64(3), 787), (787, np.int64(2), 787), (787, np.int64(2), 747), (747, np.int64(3), 746), (746, np.int64(2), 706), (706, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 664), (664, np.int64(2), 663), (663, np.int64(2), 623), (623, np.int64(3), 622), (622, np.int64(2), 623), (623, np.int64(3), 622), (622, np.int64(2), 582)]"
2,"[(420, np.int64(1), 460), (460, np.int64(1), 500), (500, np.int64(3), 499), (499, np.int64(1), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 540), (540, np.int64(3), 539), (539, np.int64(0), 540), (540, np.int64(3), 539), (539, np.int64(0), 539), (539, np.int64(0), 499), (499, np.int64(1), 539)]"
3,"[(499, np.int64(1), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 540), (540, np.int64(3), 541), (541, np.int64(3), 501), (501, np.int64(3), 500), (500, np.int64(3), 499), (499, np.int64(1), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539)]"
4,"[(788, np.int64(3), 787), (787, np.int64(2), 747), (747, np.int64(3), 746), (746, np.int64(2), 786), (786, np.int64(2), 746), (746, np.int64(2), 706), (706, np.int64(3), 666), (666, np.int64(3), 665), (665, np.int64(3), 664), (664, np.int64(2), 624), (624, np.int64(3), 623), (623, np.int64(3), 622), (622, np.int64(2), 582), (582, np.int64(3), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(3), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 499), (499, np.int64(1), 499), (499, np.int64(1), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 499), (499, np.int64(1), 459), (459, np.int64(1), 499)]"
5,"[(985, np.int64(2), 1025), (1025, np.int64(2), 985), (985, np.int64(2), 945), (945, np.int64(4), 946), (946, np.int64(4), 947), (947, np.int64(2), 907), (907, np.int64(4), 908), (908, np.int64(2), 868), (868, np.int64(2), 869), (869, np.int64(2), 869), (869, np.int64(2), 829), (829, np.int64(2), 828), (828, np.int64(2), 788), (788, np.int64(3), 787), (787, np.int64(2), 747), (747, np.int64(3), 746), (746, np.int64(2), 706), (706, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 664), (664, np.int64(2), 624)]"
6,"[(1071, np.int64(2), 1031), (1031, np.int64(4), 1032), (1032, np.int64(2), 992), (992, np.int64(4), 993), (993, np.int64(2), 953), (953, np.int64(4), 953), (953, np.int64(4), 954), (954, np.int64(2), 914), (914, np.int64(2), 874), (874, np.int64(0), 914), (914, np.int64(2), 954), (954, np.int64(2), 914), (914, np.int64(2), 874), (874, np.int64(0), 834), (834, np.int64(1), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 875), (875, np.int64(3), 874), (874, np.int64(0), 914), (914, np.int64(2), 874), (874, np.int64(0), 874), (874, np.int64(0), 834), (834, np.int64(1), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874)]"
7,"[(420, np.int64(1), 460), (460, np.int64(1), 500), (500, np.int64(3), 499), (499, np.int64(1), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 540), (540, np.int64(3), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 499), (499, np.int64(1), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539)]"
8,"[(788, np.int64(3), 787), (787, np.int64(2), 747), (747, np.int64(3), 746), (746, np.int64(2), 706), (706, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 664), (664, np.int64(2), 624), (624, np.int64(3), 623), (623, np.int64(3), 622), (622, np.int64(2), 582), (582, np.int64(3), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(3), 541), (541, np.int64(3), 540), (540, np.int64(3), 539)]"
9,"[(587, np.int64(3), 586), (586, np.int64(3), 586), (586, np.int64(3), 585), (585, np.int64(1), 625), (625, np.int64(3), 624), (624, np.int64(3), 623), (623, np.int64(3), 622), (622, np.int64(2), 582), (582, np.int64(3), 581), (581, np.int64(2), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(3), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 539), (539, np.int64(0), 499)]"
10,"[(877, np.int64(3), 876), (876, np.int64(3), 875), (875, np.int64(3), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 834), (834, np.int64(1), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 874), (874, np.int64(0), 914), (914, np.int64(2), 874)]"
