m,trajs
11,"[(832, np.int64(3), 831), (831, np.int64(3), 831), (831, np.int64(3), 830), (830, np.int64(2), 790), (790, np.int64(3), 789), (789, np.int64(3), 788), (788, np.int64(2), 748), (748, np.int64(3), 747), (747, np.int64(2), 746), (746, np.int64(2), 706), (706, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 664), (664, np.int64(3), 663), (663, np.int64(2), 623), (623, np.int64(3), 622), (622, np.int64(2), 582), (582, np.int64(3), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540)]"
12,"[(832, np.int64(3), 831), (831, np.int64(3), 830), (830, np.int64(2), 790), (790, np.int64(3), 789), (789, np.int64(3), 788), (788, np.int64(2), 748), (748, np.int64(3), 747), (747, np.int64(2), 707), (707, np.int64(3), 706), (706, np.int64(3), 746), (746, np.int64(2), 706), (706, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 664), (664, np.int64(3), 663), (663, np.int64(2), 623), (623, np.int64(3), 622), (622, np.int64(2), 582), (582, np.int64(3), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(0), 541), (541, np.int64(3), 540)]"
13,"[(1071, np.int64(2), 1031), (1031, np.int64(4), 1032), (1032, np.int64(2), 992), (992, np.int64(2), 952), (952, np.int64(4), 953), (953, np.int64(4), 954), (954, np.int64(2), 914), (914, np.int64(2), 874), (874, np.int64(2), 834), (834, np.int64(3), 833), (833, np.int64(3), 832), (832, np.int64(3), 831), (831, np.int64(3), 830), (830, np.int64(2), 790), (790, np.int64(3), 790), (790, np.int64(3), 789), (789, np.int64(3), 749), (749, np.int64(3), 748), (748, np.int64(3), 747), (747, np.int64(2), 707), (707, np.int64(3), 747), (747, np.int64(2), 746), (746, np.int64(2), 706)]"
14,"[(623, np.int64(3), 622), (622, np.int64(2), 582), (582, np.int64(3), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(0), 541), (541, np.int64(3), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 539), (539, np.int64(4), 539), (539, np.int64(4), 540), (540, np.int64(0), 500), (500, np.int64(1), 540), (540, np.int64(0), 540), (540, np.int64(0), 540)]"
15,"[(544, np.int64(1), 504), (504, np.int64(1), 544), (544, np.int64(1), 584), (584, np.int64(3), 583), (583, np.int64(3), 583), (583, np.int64(3), 582), (582, np.int64(3), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(0), 540), (540, np.int64(0), 539), (539, np.int64(4), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 500), (500, np.int64(1), 540), (540, np.int64(0), 540), (540, np.int64(0), 540)]"
16,"[(985, np.int64(2), 1025), (1025, np.int64(2), 1024), (1024, np.int64(2), 1025), (1025, np.int64(2), 985), (985, np.int64(2), 945), (945, np.int64(4), 946), (946, np.int64(4), 947), (947, np.int64(2), 947), (947, np.int64(2), 907), (907, np.int64(2), 867), (867, np.int64(2), 827), (827, np.int64(2), 787), (787, np.int64(2), 747), (747, np.int64(2), 707), (707, np.int64(3), 706), (706, np.int64(3), 707), (707, np.int64(3), 707), (707, np.int64(3), 706), (706, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 664), (664, np.int64(3), 663), (663, np.int64(2), 623)]"
17,"[(541, np.int64(3), 501), (501, np.int64(1), 502), (502, np.int64(1), 502), (502, np.int64(1), 542), (542, np.int64(3), 541), (541, np.int64(3), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 541), (541, np.int64(3), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 539), (539, np.int64(4), 540), (540, np.int64(0), 540)]"
18,"[(788, np.int64(2), 748), (748, np.int64(3), 747), (747, np.int64(2), 707), (707, np.int64(3), 706), (706, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 665), (665, np.int64(3), 664), (664, np.int64(3), 663), (663, np.int64(2), 623), (623, np.int64(3), 583), (583, np.int64(3), 582), (582, np.int64(3), 581), (581, np.int64(2), 541), (541, np.int64(3), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540), (540, np.int64(0), 540)]"
19,"[(985, np.int64(2), 945), (945, np.int64(4), 946), (946, np.int64(4), 947), (947, np.int64(2), 946), (946, np.int64(4), 947), (947, np.int64(2), 907), (907, np.int64(2), 867), (867, np.int64(2), 827), (827, np.int64(2), 787), (787, np.int64(2), 747), (747, np.int64(2), 707), (707, np.int64(3), 706), (706, np.int64(3), 707), (707, np.int64(3), 706), (706, np.int64(3), 705), (705, np.int64(2), 705), (705, np.int64(2), 665), (665, np.int64(3), 664), (664, np.int64(3), 663), (663, np.int64(2), 703), (703, np.int64(2), 663), (663, np.int64(2), 623), (623, np.int64(3), 622)]"
20,"[(985, np.int64(2), 945), (945, np.int64(4), 945), (945, np.int64(4), 985), (985, np.int64(2), 945), (945, np.int64(4), 946), (946, np.int64(4), 947), (947, np.int64(2), 907), (907, np.int64(2), 867), (867, np.int64(2), 827), (827, np.int64(2), 828), (828, np.int64(2), 788), (788, np.int64(2), 748), (748, np.int64(3), 747), (747, np.int64(2), 707), (707, np.int64(3), 706), (706, np.int64(3), 705), (705, np.int64(2), 705), (705, np.int64(2), 665), (665, np.int64(3), 705), (705, np.int64(2), 665), (665, np.int64(3), 665), (665, np.int64(3), 664), (664, np.int64(3), 663)]"
