wifi_a,wifi_b,count,distance,meanTime,maxSpeed
67927.0,99.0,6.0,60.74,4.0,60.74
67927.0,55645.0,1.0,19.24,20.0,0.962
55645.0,4966.0,4.0,30.81,105.75,61.62
55645.0,120.0,1.0,25.2,13.0,1.9384615384615385
120.0,58801.0,1.0,60.01,2.0,30.005
58801.0,99.0,8.0,87.29,12.375,43.645
58801.0,34196.0,1.0,59.48,60239.0,0.0009874001892461693
34196.0,99.0,4.0,29.71,69.0,14.855
5.0,5315.0,1.0,18.86,332.0,0.05680722891566265
5315.0,99.0,8.0,77.41,158.25,25.80333333333333
5315.0,22.0,2.0,138.33,182.5,1.080703125
57897.0,95.0,2.0,59.29,13.0,5.929
57897.0,101.0,6.0,31.24,282.3333333333333,0.97625
101.0,95.0,2.0,90.35,39.0,2.5814285714285714
57897.0,49.0,1.0,31.1,2030.0,0.015320197044334976
49.0,95.0,4.0,55.08,378.0,0.5296153846153846
2642.0,78752.0,5.0,51.2,209.6,10.24
78752.0,95.0,2.0,50.59,91.0,2.8105555555555557
78752.0,12483.0,2.0,13.04,2194.0,0.016675191815856777
12483.0,13.0,1.0,38.51,2323.0,0.016577701248385708
13.0,5.0,1.0,114.24,39.0,2.9292307692307693
5.0,12483.0,4.0,75.96,169.25,151.92
5.0,78752.0,5.0,88.83,34.8,88.83
78752.0,88.0,2.0,2.88,98.0,0.576
12483.0,88.0,3.0,15.77,15.666666666666666,3.154
88.0,13.0,2.0,22.87,11.5,4.574
13.0,95.0,1.0,76.05,7.0,10.864285714285714
95.0,88.0,1.0,53.3,1.0,53.3
5.0,5315.0,1.0,18.86,6.0,3.143333333333333
5315.0,49.0,2.0,62.64,427.0,0.14949880668257756
5315.0,37048.0,6.0,84.17,145.5,28.05666666666667
95.0,37314.0,1.0,26.44,1756.0,0.015056947608200456
37314.0,88.0,2.0,26.87,1620.5,0.07402203856749312
37314.0,92.0,4.0,150.18,22.75,75.09
37314.0,49.0,4.0,65.32,6.5,16.33
57897.0,95.0,4.0,59.29,380.75,1.5202564102564102
57897.0,49.0,1.0,31.1,5129.0,0.006063560148177033
49.0,101.0,2.0,54.17,429.0,0.660609756097561
49.0,95.0,1.0,55.08,795.0,0.06928301886792453
95.0,84.0,1.0,76.73,23590.0,0.003252649427723612
95.0,22.0,3.0,157.9,519.6666666666666,52.63333333333333
22.0,32.0,5.0,88.88,614.0,177.76
22.0,5.0,3.0,121.22,840.3333333333334,1.0101666666666667
5.0,32.0,2.0,48.84,46.0,16.28
32.0,95.0,2.0,87.51,22592.5,0.09299681190223168
95.0,5.0,4.0,39.38,596.0,5.625714285714286
5.0,99.0,5.0,59.06,815.6,14.765
99.0,120.0,2.0,40.56,2.0,20.28
120.0,22.0,2.0,86.98,4.5,21.745
22.0,99.0,1.0,64.39,6.0,10.731666666666667
32.0,99.0,2.0,27.73,187.0,0.5437254901960784
95.0,88.0,2.0,53.3,136.5,0.6922077922077922
76582.0,49.0,2.0,59.56,13.0,29.78
76582.0,88.0,6.0,50.3,34.5,16.766666666666666
76582.0,5315.0,1.0,22.56,794.0,0.028413098236775815
5315.0,49.0,4.0,62.64,19.5,62.64
22.0,5.0,1.0,121.22,778.0,0.15580976863753213
5.0,22044.0,5.0,85.58,4.0,85.58
22044.0,22.0,2.0,35.81,1741.0,0.021650544135429262
22044.0,33.0,2.0,37.17,7.0,6.195
37048.0,12483.0,1.0,27.07,9995.0,0.0027083541770885444
12483.0,74560.0,1.0,5.0,190.0,0.02631578947368421
74560.0,37314.0,1.0,16.12,52.0,0.31
37314.0,12483.0,1.0,11.18,0.0,22.36
12483.0,11541.0,3.0,13.04,4.666666666666667,13.04
11541.0,95.0,2.0,50.59,22.0,2.8105555555555557
11541.0,5.0,1.0,88.83,28.0,3.1725
5.0,37048.0,1.0,102.73,66137.0,0.0015532908961700712
37048.0,95.0,1.0,64.62,1.0,64.62
84.0,22.0,1.0,146.05,1561.0,0.09356181934657272
22.0,33.0,5.0,24.53,106.6,49.06
33.0,120.0,1.0,88.04,515.0,0.17095145631067962
120.0,99.0,1.0,40.56,533.0,0.07609756097560975
99.0,5.0,4.0,59.06,6.5,19.686666666666667
49.0,101.0,3.0,54.17,114.0,18.05666666666667
101.0,5.0,1.0,82.63,46.0,1.796304347826087
5.0,95.0,1.0,39.38,7.0,5.625714285714286
99.0,22.0,3.0,64.39,185.0,1.0555737704918033
22.0,120.0,1.0,86.98,568.0,0.15313380281690142
120.0,99.0,3.0,40.56,142.66666666666666,40.56
99.0,27281.0,3.0,59.51,97.0,8.501428571428571
27281.0,5.0,2.0,117.96,6.5,39.32
95.0,49.0,4.0,55.08,23.0,18.36
95.0,88.0,2.0,53.3,0.0,106.6
88.0,99.0,1.0,147.2,5.0,29.439999999999998
99.0,5.0,2.0,59.06,1.0,59.06
5.0,22.0,5.0,121.22,10.2,30.305
22.0,88.0,1.0,202.54,3.0,67.51333333333334
95.0,99.0,1.0,97.82,5.0,19.564
5.0,95.0,5.0,39.38,14.2,7.876
22.0,84.0,2.0,146.05,3.0,48.68333333333334
84.0,95.0,3.0,76.73,5.333333333333333,76.73
95.0,120.0,2.0,73.6,4.0,18.4
