wifi,X,Y,parents,ID,restored_x,restored_y
88630,241.0,146.0,120:32:22,1_virtual,-1,-1
9456,241.0,137.0,120:99:22,1_virtual,-1,-1
39594,272.0,231.0,101:5,1_virtual,-1,-1
43763,284.0,266.0,49:101,1_virtual,-1,-1
20247,327.0,177.0,88:13:22,1_virtual,-1,-1
66968,240.0,158.0,33:99:5,1_virtual,-1,-1
29614,253.0,156.0,120:33:5,1_virtual,-1,-1
53286,256.0,166.0,32:22:95,1_virtual,-1,-1
64092,355.0,239.0,49:13,1_virtual,-1,-1
80417,337.0,227.0,88:49:95,1_virtual,-1,-1
67276,325.0,222.0,88:49:5,1_virtual,-1,-1
17425,379.0,137.0,88:92,1_virtual,-1,-1
20000,344.0,229.0,49:13:95,1_virtual,-1,-1
75452,288.0,214.0,84:5:95,1_virtual,-1,-1
95546,306.0,215.0,88:84:5,1_virtual,-1,-1
86609,318.0,220.0,88:84:95,1_virtual,-1,-1
47317,278.0,185.0,88:84:22,1_virtual,-1,-1
73427,336.0,206.0,5:13:95,1_virtual,-1,-1
27630,237.0,153.0,32:33:120,1_virtual,-1,-1
72694,252.0,164.0,32:99:120,1_virtual,-1,-1
28421,354.0,207.0,88:5:13,1_virtual,-1,-1
36007,191.0,127.0,105:99,1_virtual,-1,-1
33591,181.0,108.0,105:22:33,1_virtual,-1,-1
66853,241.0,146.0,32:120:22,1_virtual,-1,-1
45527,264.0,219.0,55554:101,2_virtual,-1,-1
28352,281.0,203.0,27617:55554,2_virtual,-1,-1
7450,316.0,198.0,52173:95695,2_virtual,-1,-1
74427,346.0,207.0,80285:95695,2_virtual,-1,-1
27038,273.0,171.0,40516:52173,2_virtual,-1,-1
93994,329.0,200.0,63749:52173:80285,2_virtual,-1,-1
34039,294.0,176.0,41941:80285,2_virtual,-1,-1
68331,319.0,190.0,41941:63749:95695,2_virtual,-1,-1
86416,264.0,167.0,41941:52173,2_virtual,-1,-1
1706,255.0,152.0,40516:41941,2_virtual,-1,-1
92916,300.0,209.0,70481:49,2_virtual,-1,-1
11713,335.0,237.0,49:63749,2_virtual,-1,-1
73138,300.0,185.0,99:63749,2_virtual,-1,-1
