wifi_a,wifi_b,count,distance,meanTime,maxSpeed
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,99.0,1.0,147.2,7548.0,0.019501854795972443
99.0,72974.0,1.0,24.26,212.0,0.11443396226415095
72974.0,101.0,6.0,114.39,5.0,38.13
72974.0,38321.0,3.0,63.0,4.666666666666667,21.0
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,95.0,1.0,53.3,10556.0,0.005049261083743842
95.0,13.0,2.0,76.05,6.5,15.209999999999999
95.0,5.0,2.0,39.38,6.5,6.5633333333333335
69143.0,49.0,6.0,124.62,14.0,15.5775
26858.0,9048.0,1.0,46.1,12809.0,0.003599031930673745
9048.0,25145.0,1.0,26.08,11.0,2.3709090909090906
25145.0,33.0,4.0,106.9,6.25,26.725
25145.0,120.0,1.0,36.37,2.0,18.185
120.0,22.0,1.0,86.98,265.0,0.32822641509433964
22.0,33.0,8.0,24.53,0.0,49.06
25145.0,22.0,1.0,112.93,6.0,18.82166666666667
25145.0,38337.0,1.0,1.41,2.0,0.705
38337.0,22.0,5.0,114.34,3.6,38.11333333333334
33.0,38337.0,4.0,108.29,4.25,36.09666666666667
38337.0,120.0,3.0,37.47,2.0,74.94
120.0,33.0,1.0,88.04,4.0,22.01
38337.0,99.0,1.0,52.71,4.0,13.1775
99.0,32.0,1.0,27.73,15.0,1.8486666666666667
32.0,33.0,1.0,74.92,4.0,18.73
33.0,13702.0,1.0,103.56,7.0,14.794285714285715
13702.0,32.0,1.0,42.0,54.0,0.7777777777777778
32.0,22.0,2.0,88.88,4.0,22.22
22.0,19040.0,5.0,135.57,4.0,33.8925
22.0,52367.0,1.0,162.73,0.0,325.46
52367.0,19040.0,1.0,35.06,4.0,8.765
19040.0,8453.0,5.0,35.44,1.6,35.44
8453.0,32.0,1.0,101.89,1.0,101.89
32.0,19040.0,2.0,66.66,14.0,133.32
19040.0,33.0,3.0,130.76,11.666666666666666,21.793333333333333
22.0,99.0,1.0,64.39,33.0,1.9512121212121212
99.0,33.0,1.0,55.62,6.0,9.27
33.0,8453.0,1.0,165.08,1831.0,0.0901583833970508
8453.0,12042.0,1.0,14.56,8.0,1.82
12042.0,13702.0,6.0,65.46,2.1666666666666665,130.92
12042.0,19040.0,4.0,38.42,2.25,38.42
12042.0,92.0,4.0,163.58,2.5,163.58
12042.0,79123.0,6.0,84.91,2.8333333333333335,84.91
12042.0,48812.0,1.0,17.0,7.0,2.4285714285714284
48812.0,38337.0,3.0,46.62,3.3333333333333335,23.31
38337.0,12042.0,3.0,60.75,3.3333333333333335,20.25
38337.0,88.0,3.0,96.14,1.6666666666666667,192.28
38337.0,13.0,2.0,118.96,13.0,237.92
12042.0,88.0,1.0,42.49,4.0,10.6225
38337.0,9048.0,1.0,24.7,1.0,24.7
9048.0,12042.0,4.0,36.06,5.0,12.020000000000001
9048.0,88.0,4.0,72.81,88.0,36.405
9048.0,95.0,1.0,20.55,60414.0,0.0003401529446816963
95.0,76756.0,1.0,14.06,7.0,2.0085714285714285
76756.0,49.0,2.0,44.41,2984.0,88.82
76756.0,63561.0,4.0,63.25,3.0,21.083333333333332
76756.0,99.0,5.0,94.48,3.8,47.24
99.0,13369.0,15.0,77.78,3.3333333333333335,77.78
13369.0,49.0,8.0,88.5,1.375,177.0
13369.0,5.0,2.0,34.47,8836.5,0.40552941176470586
95.0,52367.0,1.0,27.76,767.0,0.03619295958279009
52367.0,3236.0,8.0,41.4,800.25,20.7
52367.0,99.0,2.0,99.04,3.5,33.013333333333335
52367.0,92.0,4.0,183.61,3475.75,367.22
95.0,72576.0,1.0,61.15,7.0,8.735714285714286
72576.0,11404.0,4.0,13.04,3.25,6.52
72576.0,5.0,2.0,26.92,8757.5,5.384
95.0,70552.0,1.0,9.27,300.0,0.030899999999999997
70552.0,52367.0,2.0,20.62,5630.5,0.07525547445255475
70552.0,9048.0,1.0,25.46,61051.0,0.00041702838610342176
95.0,2344.0,1.0,65.74,7.0,9.391428571428571
2344.0,75226.0,1.0,31.89,0.0,63.78
75226.0,21424.0,1.0,74.97,107.0,0.7006542056074766
21424.0,31591.0,7.0,75.66,1.8571428571428572,75.66
31591.0,75226.0,1.0,26.25,1.0,26.25
75226.0,13.0,8.0,150.25,2.375,300.5
75226.0,60880.0,124.0,37.8,3.967741935483871,37.8
75226.0,69762.0,1.0,49.25,0.0,98.5
69762.0,38333.0,3.0,61.61,2.3333333333333335,30.805
38333.0,13.0,73.0,129.95,1.9452054794520548,259.9
38333.0,31591.0,4.0,37.64,1.75,37.64
38333.0,94142.0,12.0,65.8,1.9166666666666667,131.6
38333.0,64102.0,12.0,56.86,2.6666666666666665,113.72
38333.0,33.0,24.0,107.96,2.1666666666666665,215.92
38333.0,120.0,8.0,54.04,4.25,108.08
38333.0,49.0,55.0,72.11,4.509090909090909,144.22
13.0,49.0,1.0,99.52,5.0,19.904
38333.0,5.0,1.0,19.95,7391.0,0.0026992287917737786
5.0,32.0,1.0,48.84,1202.0,0.04063227953410982
32.0,38333.0,9.0,35.3,1805.2222222222222,35.3
49.0,50860.0,1.0,85.01,9.0,9.445555555555556
50860.0,84866.0,1.0,13.6,67544.0,0.00020135023096055904
84866.0,5.0,2.0,9.2,8770.5,1.8399999999999999
49.0,59287.0,1.0,49.18,235.0,0.20927659574468085
59287.0,5.0,2.0,25.39,29881.0,0.5904651162790698
59287.0,88.0,3.0,74.79,9.666666666666666,24.930000000000003
59287.0,22.0,4.0,146.45,9.25,48.81666666666666
49.0,9094.0,1.0,58.01,26.0,2.231153846153846
9094.0,99.0,8.0,117.28,25.625,39.093333333333334
9094.0,92.0,2.0,155.68,71.0,311.36
5.0,64018.0,1.0,6.03,962.0,0.006268191268191268
64018.0,22.0,6.0,123.47,2.6666666666666665,61.735
64018.0,79123.0,1.0,34.0,66911.0,0.0005081376754195872
22.0,88505.0,1.0,51.44,97.0,0.5303092783505154
88505.0,33.0,4.0,48.03,21.25,8.005
22.0,75428.0,1.0,34.13,27.0,1.2640740740740741
75428.0,120.0,4.0,62.3,6.5,31.15
32.0,25405.0,1.0,24.23,274.0,0.08843065693430657
25405.0,56907.0,1.0,6.32,1352.0,0.004674556213017752
56907.0,51286.0,6.0,21.0,46.333333333333336,1.4
56907.0,44615.0,2.0,54.2,34.0,3.1882352941176473
56907.0,52746.0,3.0,13.45,14.0,4.483333333333333
52746.0,44615.0,4.0,51.62,26.5,10.324
44615.0,51286.0,2.0,73.16,6.5,36.58
