wifi_a,wifi_b,count,distance,meanTime,maxSpeed
84.0,99.0,65.0,84.36,2.169230769230769,84.36
101.0,84.0,3.0,29.03,3.6666666666666665,29.03
99.0,101.0,49.0,113.35,3.4489795918367347,56.675
22.0,99.0,51.0,64.39,6.411764705882353,12.878
5.0,88.0,144.0,91.38,5.527777777777778,182.76
88.0,22.0,108.0,202.54,3.675925925925926,202.54
95.0,88.0,511.0,53.3,1.36986301369863,106.6
88.0,99.0,335.0,147.2,3.0417910447761196,147.2
88.0,101.0,41.0,132.74,1.3658536585365855,265.48
84.0,88.0,24.0,126.06,0.6666666666666666,252.12
101.0,33.0,1.0,157.67,3.0,52.556666666666665
33.0,99.0,1.0,55.62,3.0,18.54
95.0,49.0,26.0,55.08,2.076923076923077,110.16
49.0,99.0,4.0,126.11,4.25,31.5275
49.0,84.0,1.0,60.58,1.0,60.58
22.0,120.0,3.0,86.98,1.3333333333333333,173.96
120.0,95.0,2.0,73.6,2.0,73.6
99.0,13.0,15.0,169.72,1.9333333333333333,339.44
120.0,99.0,2.0,40.56,7.0,5.7942857142857145
5.0,120.0,1.0,44.14,3.0,14.713333333333333
22.0,49.0,25.0,190.46,0.92,380.92
49.0,5.0,8.0,73.03,3.625,36.515
88.0,13.0,2.0,22.87,4.0,7.623333333333334
88.0,49.0,3.0,82.73,4.666666666666667,82.73
13.0,49.0,1.0,99.52,5.0,19.904
5.0,32.0,6.0,48.84,2907.5,48.84
99.0,32.0,4.0,27.73,1.0,27.73
49.0,22.0,167.0,190.46,11.832335329341317,380.92
22.0,95.0,412.0,157.9,7.218446601941747,315.8
95.0,5.0,549.0,39.38,84.69216757741349,19.69
95.0,49.0,136.0,55.08,6.301470588235294,110.16
5.0,49.0,226.0,73.03,9.402654867256636,73.03
5.0,22.0,341.0,121.22,19.868035190615835,40.406666666666666
22.0,99.0,80.0,64.39,21.3875,64.39
99.0,95.0,197.0,97.82,6.16243654822335,48.91
5.0,99.0,351.0,59.06,5.45014245014245,59.06
99.0,49.0,38.0,126.11,9.157894736842104,63.055
49.0,95.0,136.0,55.08,39.4485294117647,110.16
49.0,5.0,48.0,73.03,38.0,73.03
95.0,5.0,14.0,39.38,4298.5,7.876
49.0,88.0,1.0,82.73,3.0,27.576666666666668
88.0,5.0,2.0,91.38,13.0,15.229999999999999
49.0,22.0,2.0,190.46,10.0,63.48666666666667
22.0,5.0,2.0,121.22,8.5,15.1525
49.0,95.0,50.0,55.08,1583.54,110.16
49.0,5.0,17.0,73.03,38.588235294117645,36.515
5.0,95.0,60.0,39.38,27.6,7.876
5.0,88.0,10.0,91.38,43.1,91.38
88.0,49.0,6.0,82.73,12.0,165.46
95.0,88.0,8.0,53.3,45.5,8.883333333333333
88.0,99.0,4.0,147.2,17.25,49.06666666666666
99.0,5.0,2.0,59.06,42.0,3.69125
49.0,92.0,2.0,211.31,71.0,422.62
95.0,99.0,2.0,97.82,26.0,4.446363636363636
5.0,99.0,98.0,59.06,685.6020408163265,118.12
5.0,95.0,7.0,39.38,59.0,6.5633333333333335
95.0,99.0,4.0,97.82,10.0,32.60666666666666
5.0,22.0,3.0,121.22,3.0,40.406666666666666
22.0,95.0,3.0,157.9,2.3333333333333335,78.95
22.0,120.0,38.0,86.98,31.289473684210527,86.98
22.0,99.0,468.0,64.39,23.495726495726494,64.39
120.0,99.0,54.0,40.56,19.27777777777778,40.56
22.0,33.0,1.0,24.53,27.0,0.9085185185185186
33.0,99.0,3.0,55.62,19.333333333333332,9.27
22.0,33.0,24.0,24.53,47.916666666666664,24.53
22.0,99.0,161.0,64.39,49.4472049689441,16.0975
99.0,33.0,78.0,55.62,12.551282051282051,55.62
99.0,120.0,4.0,40.56,6.5,20.28
32.0,22.0,72.0,88.88,870.5277777777778,177.76
22.0,5.0,56.0,121.22,23.714285714285715,121.22
5.0,32.0,155.0,48.84,27.670967741935485,48.84
32.0,95.0,50.0,87.51,53.06,43.755
5.0,95.0,25.0,39.38,27.88,7.876
22.0,99.0,6.0,64.39,19.5,10.731666666666667
99.0,5.0,16.0,59.06,27.5625,29.53
5.0,120.0,13.0,44.14,17.923076923076923,88.28
120.0,32.0,19.0,54.21,43.0,108.42
95.0,22.0,22.0,157.9,19.954545454545453,78.95
32.0,88.0,19.0,140.16,51.0,35.04
88.0,95.0,8.0,53.3,17.125,106.6
22.0,120.0,7.0,86.98,22.571428571428573,28.993333333333336
32.0,99.0,19.0,27.73,42.526315789473685,27.73
22.0,88.0,3.0,202.54,28.333333333333332,40.507999999999996
88.0,99.0,3.0,147.2,5.666666666666667,73.6
95.0,99.0,5.0,97.82,24.8,32.60666666666666
120.0,95.0,4.0,73.6,32.25,9.2
32.0,13.0,4.0,163.03,32.5,12.54076923076923
99.0,13.0,1.0,169.72,1.0,169.72
13.0,5.0,1.0,114.24,1.0,114.24
95.0,13.0,2.0,76.05,5.0,15.209999999999999
120.0,88.0,1.0,115.57,8.0,14.44625
99.0,120.0,2.0,40.56,1.0,40.56
88.0,5.0,6.0,91.38,26.5,13.054285714285713
