wifi_a,wifi_b,count,distance,meanTime,maxSpeed
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,99.0,1.0,147.2,7548.0,0.019501854795972443
99.0,72974.0,1.0,24.26,212.0,0.11443396226415095
72974.0,101.0,8.0,114.39,5.0,38.13
72974.0,2344.0,1.0,14.42,4.0,3.605
2344.0,101.0,28.0,103.24,3.5714285714285716,206.48
22.0,88.0,1.0,202.54,14628.0,0.01384604867377632
88.0,95.0,1.0,53.3,10556.0,0.005049261083743842
95.0,13.0,2.0,76.05,6.5,15.209999999999999
95.0,5.0,2.0,39.38,6.5,6.5633333333333335
22.0,95.0,8.0,157.9,10.0,52.63333333333333
95.0,5.0,12.0,39.38,17.25,6.5633333333333335
5.0,22.0,2.0,121.22,20.0,11.02
5.0,49.0,3.0,73.03,20.0,3.6515
49.0,22.0,3.0,190.46,8.0,23.8075
26858.0,9048.0,15.0,46.1,855.6,92.2
9048.0,25145.0,2.0,26.08,6.5,13.04
25145.0,33.0,4.0,106.9,6.25,26.725
25145.0,120.0,1.0,36.37,2.0,18.185
120.0,22.0,3.0,86.98,91.0,21.745
22.0,33.0,8.0,24.53,0.0,49.06
25145.0,22.0,1.0,112.93,6.0,18.82166666666667
9048.0,33.0,5.0,132.97,7.2,44.32333333333333
22.0,9048.0,6.0,138.33,3.6666666666666665,46.11000000000001
9048.0,79123.0,28.0,48.88,3.3214285714285716,48.88
9048.0,120.0,2.0,56.3,0.0,112.6
33.0,79123.0,3.0,84.22,6.666666666666667,14.036666666666667
9048.0,99.0,1.0,77.41,4.0,19.3525
99.0,32.0,1.0,27.73,15.0,1.8486666666666667
32.0,33.0,1.0,74.92,4.0,18.73
33.0,13702.0,1.0,103.56,7.0,14.794285714285715
13702.0,32.0,1.0,42.0,54.0,0.7777777777777778
32.0,22.0,2.0,88.88,4.0,22.22
22.0,26858.0,2.0,179.19,4.0,44.7975
9048.0,49.0,22.0,62.64,4.636363636363637,20.88
49.0,22.0,1.0,190.46,0.0,380.92
26858.0,79123.0,5.0,93.78,3.6,31.26
79123.0,13.0,6.0,142.42,0.8333333333333334,284.84
13.0,32.0,1.0,163.03,1.0,163.03
32.0,9048.0,1.0,67.38,0.0,134.76
13.0,9048.0,13.0,95.68,1.3076923076923077,95.68
79123.0,32.0,1.0,26.28,28.0,0.9385714285714286
22.0,99.0,1.0,64.39,33.0,1.9512121212121212
99.0,33.0,1.0,55.62,6.0,9.27
33.0,13.0,1.0,223.7,1831.0,0.12217367558711086
26858.0,13702.0,3.0,74.09,2.6666666666666665,148.18
13702.0,13.0,2.0,122.89,1.0,122.89
79123.0,49.0,1.0,99.65,3.0,33.21666666666667
49.0,26858.0,2.0,65.32,4.0,16.33
13.0,49.0,1.0,99.52,4.0,24.88
49.0,13702.0,1.0,84.82,4.0,21.205
26858.0,92.0,2.0,150.18,1.0,150.18
92.0,13.0,2.0,154.36,4.0,38.59
26858.0,13.0,2.0,49.67,5.0,9.934000000000001
9048.0,88.0,6.0,72.81,58.666666666666664,145.62
88.0,79123.0,2.0,119.71,5.0,23.942
9048.0,95.0,1.0,20.55,60414.0,0.0003401529446816963
95.0,41841.0,1.0,19.98,7.0,2.8542857142857145
41841.0,91020.0,877.0,19.7,54.094640820980615,9.85
41841.0,63253.0,245.0,60.88,1.346938775510204,121.76
63253.0,91020.0,246.0,79.31,5.443089430894309,79.31
41841.0,83375.0,801.0,70.09,4.504369538077404,140.18
83375.0,63253.0,98.0,11.18,3.438775510204082,11.18
91020.0,83375.0,1655.0,89.02,4.127492447129909,178.04
83375.0,49.0,12.0,107.23,3.0833333333333335,214.46
49.0,91020.0,11.0,71.0,0.5454545454545454,142.0
91020.0,99.0,12.0,132.56,4.166666666666667,66.28
99.0,41841.0,7.0,112.86,2.0,112.86
83375.0,99.0,1.0,51.17,5.0,10.234
99.0,63253.0,4.0,62.16,3.0,20.72
63253.0,49.0,1.0,103.74,4.0,25.935
41841.0,5.0,1.0,56.64,17588.0,0.0032203775301341826
5.0,83375.0,1.0,36.41,85.0,0.42835294117647055
95.0,9048.0,1.0,20.55,767.0,0.02679269882659713
9048.0,49.0,15.0,62.64,14.266666666666667,125.28
9048.0,88.0,21.0,72.81,71.71428571428571,72.81
49.0,99.0,1.0,126.11,4.0,31.5275
99.0,9048.0,1.0,77.41,3.0,25.80333333333333
9048.0,92.0,3.0,156.74,8.666666666666666,313.48
92.0,49.0,1.0,211.31,907.0,0.23297684674751928
88.0,49.0,1.0,82.73,8.0,10.34125
95.0,25145.0,1.0,46.53,7.0,6.647142857142858
25145.0,23449.0,58.0,53.04,5.103448275862069,26.52
23449.0,72974.0,52.0,19.7,6.076923076923077,9.85
72974.0,25145.0,25.0,35.51,5.68,11.836666666666666
72974.0,30620.0,1.0,82.1,2.0,41.05
30620.0,25145.0,928.0,51.55,3.4655172413793105,103.1
30620.0,26858.0,73.0,19.7,6.36986301369863,19.7
26858.0,91020.0,1.0,11.18,8.0,1.3975
91020.0,30620.0,1686.0,30.68,31.161921708185055,61.36
91020.0,25145.0,888.0,82.22,4.622747747747748,164.44
30620.0,23449.0,147.0,101.55,3.673469387755102,101.55
23449.0,91020.0,166.0,131.61,4.162650602409639,263.22
30620.0,5.0,1.0,45.46,17510.0,0.0025962307252998286
5.0,23449.0,1.0,61.31,5.0,12.262
95.0,9048.0,1.0,20.55,300.0,0.0685
9048.0,88.0,22.0,72.81,100.77272727272727,145.62
9048.0,49.0,10.0,62.64,6.7,62.64
95.0,2344.0,1.0,65.74,7.0,9.391428571428571
2344.0,91297.0,1.0,73.25,0.0,146.5
91297.0,64120.0,50.0,79.31,3.08,79.31
91297.0,82676.0,144.0,19.7,4.722222222222222,39.4
82676.0,64120.0,23.0,60.88,3.130434782608696,30.44
64120.0,31591.0,1.0,33.84,1.0,33.84
31591.0,91297.0,5.0,78.39,1.6,78.39
82676.0,13.0,4.0,128.08,2.0,64.04
13.0,64120.0,2.0,170.99,1.0,170.99
13.0,91297.0,6.0,111.55,2.8333333333333335,223.1
91297.0,13568.0,277.0,128.47,2.404332129963899,256.94
13568.0,82676.0,134.0,112.7,3.462686567164179,225.4
13568.0,31591.0,3.0,52.33,1.6666666666666667,52.33
82676.0,31591.0,1.0,65.31,5.0,13.062000000000001
13.0,13568.0,34.0,197.21,2.1176470588235294,394.42
82676.0,62572.0,18.0,41.23,3.888888888888889,13.743333333333332
62572.0,13568.0,70.0,73.05,2.3,146.1
