wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
13702,281.0,183.0,99:95,1_virtual,273.541481,183.542203,76246:35813:77870:72980:95062:18533:60633:63110:85283:39447:66331:94276:36727:42957:43303:34992:3030:48248:78706:60463:17224:10402:98297:57108:82009:43670:62282:22211:16755:53596:8185:72972:75762:39626:3691:62520:37905:9175:21971:98912:50331:13533:1795:90669:32871:78421:33673:7517:97617:57889:71344:82847:23885:14867:90903:87363:5625:28851:76681:59724:69942:33665:31097:74221:70508:24227:47136:40796:97707:15097:88728:26930:66666:7504:83208:35025:11422:47408:26773:71383:47991:20580:8677:44941:31761:57446:36727:9151:97880:24224:41725:89923:15329:29110:10503:41046:35396:69942:20180:12830:89870:74938:41172:94101:6379:42561:55878:47155:83208:27732:15562:69818:19818:44234:15223:10870:94679:72650:53730:30002:43076:50930:23490:27976:94141:53732:97821:79207:33113:,1
2552,388.0,214.0,88:13,1_virtual,389.688204,214.525514,N,1
30620,332.0,202.0,88:5,1_virtual,339.156466,200.381842,88741:40696:47968:6783:40676:87031:81369:62527:24193:19256:71102:10069:58258:73506:54418:51886:6024:39574:,1
41841,343.0,204.0,13:5,1_virtual,342.238159,205.594444,19070:3236:17079:48778:59379:49097:8453:88388:54262:83595:51864:20945:85881:28537:90446:75596:13286:46007:,1
91020,361.0,212.0,13:95,1_virtual,362.971623,211.452847,84932:31635:95144:63596:89441:32911:62829:33234:31249:79302:25903:36623:60316:62273:47297:26673:99628:88032:59170:51024:87202:74700:2318:4893:49301:96234:,1
63253,302.0,159.0,13:22,1_virtual,292.511771,160.224882,28453:88106:33593:88344:70683:38083:39254:65684:10278:,1
83375,291.0,157.0,88:22,1_virtual,289.701592,155.541243,9142:75724:26218:70202:58026:71451:,1
14185,308.0,185.0,88:99,1_virtual,304.94565,184.788307,93268:68078:87358:33193:67265:16644:76863:48781:97161:55227:85658:54349:72027:5719:71164:37145:19359:26991:9474:11716:44473:8054:54805:61121:72631:38879:48785:83882:3943:3786:4433:44583:46442:51745:38138:24644:92686:71602:39069:72712:82442:53733:68763:78538:28917:89529:7103:8893:12619:78455:52328:42870:52183:62020:,1
89653,319.0,187.0,99:13,1_virtual,306.077556,181.726417,40575:2733:83784:36509:8087:16336:22866:65098:72315:57164:55703:67404:74431:85284:53908:80619:77905:30575:82590:17257:20607:69419:47184:14918:48957:87177:64583:29773:36282:49509:30575:62255:69384:76875:99546:92635:30570:50344:85989:27408:23502:,1
13568,222.0,130.0,99:22,1_virtual,216.991779,130.219811,41479:81008:43415:75428:13003:67092:17086:60536:85503:83568:70873:11779:34167:40189:34875:67394:92842:78516:71045:72931:13111:98008:65225:79361:54962:62292:36536:10333:33317:50432:43415:80779:65642:94730:41532:85847:97014:96961:67891:79751:34684:73835:99507:60685:45394:49460:80779:29719:78598:7614:19327:42977:93143:51974:20133:59158:34200:71810:45666:14105:28620:36902:97261:27564:9264:22140:33940:40490:75521:58552:92982:74686:68296:43178:9318:31883:62509:72693:54818:,1
60800,248.0,214.0,99:101,1_virtual,255.016972,208.227254,86779:71414:31567:88171:69992:76333:82584:,1
97999,317.0,241.0,88:101,1_virtual,318.76181,234.17121,64102:45983:62814:83557:41409:39022:83460:6900:,1
71721,270.0,217.0,84:5,1_virtual,269.603088,216.159457,79461:67966:50361:20851:,1
