wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
12376,281.0,183.0,99:95,virtual,273.541,183.542,19917:66553:6942:87360:7657:26105:83198:61520:19892:63239:72330:78715:53599:838:34722:42614:46188:35083:17736:12171:98344:29890:82825:32977:70714:45948:63307:20957:53568:87103:23982:33498:71033:99149:58678:9924:1936:50620:42434:31352:5365:63558:59627:45250:38776:81995:48717:28066:56701:62853:77059:19981:76834:41963:9444:32971:94091:79773:60068:70497:60854:22740:77678:63644:42049:97570:18584:84762:79389:35986:21665:9578:57052:7617:86383:96936:,1
43315,291.0,157.0,88:22,virtual,289.702,155.541,28233:43315:78270:66921:,1
70471,332.0,202.0,88:5,virtual,339.156,200.382,24790:86321:5711:99712:6462:57285:75676:5711:,1
88624,309.0,176.0,13:22:95,virtual,304.882,179.465,68679:98585:86457:29086:,1
15246,263.0,189.0,32:5,virtual,266.015,190.376,30702:68379:54793:49955:37256:68197:65606:57815:97249:5501:39896:16045:3812:76070:86350:89008:25169:87008:83963:,1
19167,352.0,135.0,92:95,virtual,351.884,138.08,67532:61399:37898:,1
33532,222.0,144.0,32:22,virtual,222.971,147.01,33895:43679:32910:86096:23108:94098:74239:29362:7597:42860:61638:15062:67304:34328:67690:26427:75576:20423:16825:95046:12641:10461:41312:26584:69078:46711:85441:18472:48225:80047:69305:72474:94545:23397:53113:94098:1067:2866:,1
69657,297.0,171.0,5:13:22,virtual,295.606,173.922,23136:82769:64918:87978:99083:81740:4965:86657:1569:71874:14012:96575:91146:73770:,1
81689,343.0,237.0,88:49,virtual,342.284,235.228,7768:7768:,1
30847,242.0,126.0,120:22,virtual,241.499,125.514,N,1
40860,255.0,255.0,84:101,virtual,252.303,260.983,N,1
12870,279.0,204.0,49:99:5,virtual,273.745,211.032,41682:46369:55889:83344:48338:,1
39253,217.0,141.0,33:99,virtual,213.369,138.991,61400:6125:29269:58708:43776:5884:16802:72946:,1
48738,168.0,111.0,33:105,virtual,172.199,111.308,32190:70703:2898:48970:28836:47499:,1
