wifi,X,Y
66,13.949,16.375
96,62.374,59.313
105,142.814,97.329
33,194.916,125.425
99,239.844,158.207
5,287.395,193.229
95,323.590,208.748
88,376.773,212.234
19,102.488,48.308
22,205.899,103.487
120,279.519,149.801
67,370.983,159.940
92,381.397,63.134
49,310.951,262.358
101,257.355,270.201
84,254.126,241.349
4,276.312,228.590
32,239.106,185.931
13,399.251,216.457
