wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
66,13.949,16.375,N,N,13.948792,16.375364,N,1
96,62.374,59.313,N,N,62.373878,59.31299,N,1
105,142.814,97.329,N,N,142.813712,97.329134,N,1
33,194.916,125.425,N,N,194.916052,125.424975,87101:41190:35328:74831:33147:54229:,1
99,239.844,158.207,N,N,239.844309,158.206684,75999:75861:95697:19932:29271:67669:42056:22327:64506:77108:57726:1561:19619:81936:66543:29271:2317:58026:9899:45811:16942:65110:34216:9391:25460:2197:2508:66712:47539:47539:18981:47587:65476:59378:7360:1838:,1
5,287.395,193.229,N,N,287.394523,193.228916,31812:31993:58965:18252:49075:10525:14985:53960:86108:97140:54579:65518:66818:95536:58614:89081:22514:60392:68551:65518:75019:24883:33682:36812:10822:50168:62965:31430:42161:7831:84410:94586:14687:74902:64105:99927:35115:46649:55866:40980:10685:30763:,1
95,323.59,208.748,N,N,323.5895,208.748489,94921:72144:3780:54196:76582:10145:17099:49828:2642:6802:29324:91572:96763:18835:47653:22528:23756:98873:48631:95955:73828:84295:5882:88792:25683:56327:42828:96608:75135:1128:33432:44813:29654:22968:44836:55440:68668:70436:22356:21585:54171:88800:,1
88,376.773,212.234,N,N,376.772586,212.234033,11541:78752:24674:,1
19,102.488,48.308,N,N,102.487635,48.307526,N,1
22,205.899,103.487,N,N,205.898654,103.486856,N,1
120,279.519,149.801,N,N,279.5192,149.800834,75444:91215:70039:50451:74072:57886:37643:31165:29790:24447:86651:53008:71304:58880:58880:64347:11164:30954:31530:20087:,1
67,370.983,159.94,N,N,370.982585,159.940167,N,1
92,381.397,63.134,N,N,381.396941,63.133526,N,1
49,310.951,262.358,N,N,310.950798,262.358424,N,1
101,257.355,270.201,N,N,257.355128,270.201074,N,1
84,254.126,241.349,N,N,254.126223,241.34925,N,1
4,276.312,228.59,N,N,276.311922,228.58987,79513:46270:11779:94710:93217:7432:,1
32,239.106,185.931,N,N,239.105846,185.930734,44495:41636:1303:46860:95588:10335:,1
13,399.251,216.457,N,N,399.250741,216.457314,N,1
98501,264.0,156.0,22:95,1_virtual,256.200862,151.74229,7315:85067:54452:61475:9893:52491:30253:5227:31154:85239:20292:22136:45921:89997:87898:17289:27753:46269:53532:64315:96498:7957:54321:20253:31355:52997:56338:95831:78322:88835:30417:15663:5071:,1
85864,246.0,148.0,5:22,1_virtual,248.337786,138.117243,76096:35296:93772:61771:99809:16547:53767:85003:73344:77345:77647:88288:99062:20503:8999:75316:7410:56728:77466:45881:36608:24436:,1
5315,305.0,200.0,5:95,1_virtual,299.242245,195.277785,32634:76845:91259:82524:32465:17238:49022:7946:91883:62300:66243:78417:65936:92729:,1
