path,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
101->5,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->51552,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,277.165:234.213,280.995:236.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->52980,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,294.565:214.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->54957,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->60450,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,287.395:193.229,273.541:183.542,263.170:177.010,253.540:169.247,244.948:162.321,239.844:158.207,233.022:153.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->63790,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,277.165:234.213,280.995:236.462,284.216:236.645,290.842:240.474,294.611:242.967,298.441:243.818,295.444:246.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->65385,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,294.565:214.523,297.421:215.607,299.489:219.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->65673,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,288.446:211.872,292.873:204.894,295.831:199.530,309.789:205.728,323.589:208.748,335.464:209.478,341.921:209.634,342.238:205.594,339.156:200.382,337.035:194.274,337.420:188.101,340.700:181.672,344.595:175.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->71721,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,283.721:215.043,280.749:214.236,276.735:213.986,273.745:211.032,271.999:212.799,269.603:216.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101->73767,257.355:270.201,256.991:265.618,252.303:260.983,245.377:255.931,244.804:252.182,246.002:247.443,254.126:241.349,259.282:236.454,267.250:233.225,272.979:230.361,276.312:228.590,281.103:222.601,285.440:216.278,283.721:215.043,280.749:214.236,276.735:213.986,273.745:211.032,271.617:208.929,268.562:205.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
