wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
13148,299.0,227.0,49:5,1_virtual,301.552546,226.93547,97994:24732:8684:99202:,1
78744,275.0,210.0,49:99,1_virtual,273.744884,211.031755,5149:28352:2175:34395:,1
27386,281.0,183.0,99:95,1_virtual,273.541481,183.542203,47317:72888:56960:91751:72389:17068:92221:95402:62986:91913:48701:92505:98857:96135:5920:77695:64505:74364:8425:57346:80051:72195:65115:59858:56726:67962:65444:75824:57036:2850:63929:90874:62761:3225:46897:35867:94907:70639:75150:7981:14766:78107:52897:21402:98396:70124:67665:69351:35579:45819:91338:84916:74985:33244:14982:76983:69139:18097:54143:35389:91494:97751:51787:62829:66268:55414:4716:12674:33045:13551:22973:71580:57748:55847:,1
7033,217.0,141.0,33:99,1_virtual,213.368771,138.99126,9358:25396:17013:82796:55660:90036:8565:69620:,1
23286,242.0,126.0,120:22,1_virtual,241.498669,125.513793,N,1
74000,239.0,172.0,32:99,1_virtual,233.787602,176.484897,89703:33964:96116:96883:52666:65183:98008:88168:79682:15734:8842:63866:57075:,1
38302,307.0,199.0,32:88,1_virtual,309.788537,205.727901,30231:9271:7450:80366:1751:59892:4709:55400:22623:84395:54878:91380:42441:84644:10648:98746:97279:,1
22899,244.0,160.0,32:5:22,1_virtual,244.948061,162.320933,47000:96149:38036:53605:35033:63005:13863:51817:97634:83410:4670:49684:61073:41226:80873:9876:20140:38492:93778:45014:34660:49487:20652:75474:62655:5245:,1
33673,282.0,251.0,49:84,1_virtual,284.759421,248.20271,38135:,1
80261,248.0,228.0,32:101,1_virtual,259.282055,236.453814,13480:,1
16706,302.0,174.0,88:22:95,1_virtual,302.782344,177.268189,92033:80753:40525:,1
87028,222.0,144.0,32:22,1_virtual,222.970679,147.009677,21949:89212:29948:59000:11599:65486:15196:73911:17789:49933:66491:47108:68873:11034:28559:8383:70607:10897:82780:21994:35437:81476:13436:92618:,1
54549,307.0,225.0,88:101:5,1_virtual,303.034402,224.469712,76227:60472:33938:33978:,1
52711,278.0,240.0,84:101:95,1_virtual,280.994605,236.462391,N,1
99396,263.0,189.0,32:5,1_virtual,266.014574,190.375833,24217:3586:10405:7435:37425:53096:73336:12676:58991:3911:66556:81662:95630:59668:32090:32337:41839:70596:1633:62476:72072:,1
21135,291.0,209.0,49:99:95,1_virtual,288.446353,211.872477,75452:10210:69473:70953:56954:96154:59233:26245:61388:42910:3029:,1
58286,307.0,221.0,49:5:95,1_virtual,303.034402,220.18588,93178:,1
55506,352.0,135.0,92:95,1_virtual,375.613182,149.886502,65152:22509:22364:,1
4697,230.0,172.0,84:22,1_virtual,229.198362,168.632237,63927:95463:,1
45783,217.0,155.0,32:33,1_virtual,218.561262,155.067329,31308:10337:56440:90082:,1
14868,343.0,237.0,88:49,1_virtual,342.283863,235.228159,80417:69840:94672:,1
53486,261.0,216.0,32:5:101,1_virtual,261.914261,216.256375,N,1
25143,237.0,137.0,120:33,1_virtual,242.392363,134.597826,98569:9456:95323:50192:15362:37988:88456:1807:60771:49922:70429:18132:8230:68191:47677:10148:12847:52989:8615:84364:32312:93422:21324:80479:,1
18889,260.0,197.0,99:84:5,1_virtual,259.505678,196.964106,46276:94639:46966:58908:10350:8479:50051:,1
88466,297.0,247.0,49:101:95,1_virtual,295.44438,246.774766,N,1
87808,255.0,255.0,84:101,1_virtual,252.303455,260.983072,N,1
45849,168.0,111.0,33:105,1_virtual,172.199352,111.307596,42704:33591:50942:64278:,1
11244,334.0,128.0,92:5,1_virtual,349.636582,164.698011,6210:50530:55948:92812:51074:22975:25737:66074:36557:37911:97113:,1
16716,233.0,153.0,105:95,1_virtual,233.021946,153.415407,27630:97133:81086:74499:80980:63997:94144:82591:56802:21773:74633:75125:21357:54188:34993:84937:31857:44346:67795:77792:32304:73330:12185:49119:95442:41646:16715:17297:74116:5320:57157:96532:42358:94530:39522:61517:8309:8534:77334:51864:61931:,1
90614,252.0,193.0,33:49,1_virtual,253.234912,196.646599,82727:42492:83330:25813:,1
86379,285.0,241.0,49:5:101,1_virtual,284.216445,236.64476,26973:58294:7457:55674:74564:17401:,1
81988,256.0,202.0,49:84:22,1_virtual,253.078613,204.7059,53211:35839:35839:,1
58082,283.0,171.0,120:5,1_virtual,293.251576,166.883131,59623:8167:71744:83130:82007:5235:69488:48402:25855:27589:4311:23307:52170:57531:75858:24587:,1
42227,296.0,183.0,120:5:95,1_virtual,298.542306,180.289302,83850:36358:52910:64390:99845:8224:89724:,1
48085,224.0,156.0,32:33:99,1_virtual,220.826276,151.866765,83617:67147:67348:80495:,1
62658,257.0,148.0,120:5:22,1_virtual,259.065212,147.523883,99169:53071:64248:54628:47825:66817:52012:40025:67195:96899:58260:,1
33401,226.0,126.0,120:33:22,1_virtual,231.048222,125.269662,5411:88201:58839:81427:58104:50048:85185:17735:83492:52940:73000:,1
43763,284.0,266.0,49:101,1_virtual,286.372605,264.865213,N,1
20247,327.0,177.0,88:13:22,1_virtual,340.699551,181.671941,13730:61334:,1
29614,253.0,156.0,120:33:5,1_virtual,250.836714,157.262675,25610:25190:97439:64484:45009:88732:29783:68200:15235:89013:27721:27350:69524:10442:76411:90878:80993:88593:86745:28310:83211:78759:21655:5877:3679:27098:29686:6106:10303:48236:47832:5255:44210:50610:55509:23579:41338:18462:97737:,1
64092,355.0,239.0,49:13,1_virtual,347.233413,231.469558,20000:6594:,1
17425,379.0,137.0,88:92,1_virtual,380.058282,139.488144,51259:74698:73879:57674:34295:55705:,1
95546,306.0,215.0,88:84:5,1_virtual,303.920712,217.52695,84939:12452:51104:91354:54998:1539:,1
73427,336.0,206.0,5:13:95,1_virtual,335.463536,209.477597,92522:53618:93278:49211:42900:87081:77729:49764:6617:19957:81052:43164:84930:33583:79671:2683:71058:33393:16589:1600:,1
45527,264.0,219.0,55554:101,2_virtual,265.241779,218.679324,98554:29456:98183:,1
93994,329.0,200.0,63749:52173:80285,2_virtual,337.034725,194.273799,16786:5173:45290:82698:59075:98182:32181:4673:56328:72726:53615:67482:26279:10089:42205:64975:98013:38190:1240:80759:89291:47622:78687:51254:5587:34919:50986:66131:26473:,1
34039,294.0,176.0,41941:80285,2_virtual,295.605502,173.922491,64428:92516:12390:69130:20177:6653:96277:53990:22717:88723:88218:38203:44158:60895:37058:98474:39534:95879:,1
92916,300.0,209.0,70481:49,2_virtual,297.421106,215.606612,29473:14471:52879:,1
11713,335.0,237.0,49:63749,2_virtual,333.435164,238.898196,90107:14294:32192:,1
96995,291.0,181.0,99:80285,2_virtual,294.045902,186.563746,75878:4145:92123:56563:61754:23095:68979:91516:34866:73267:76794:87817:99992:79398:52886:23019:20521:54867:89237:98439:54543:82019:37218:8508:15809:,1
13578,331.0,185.0,63749:56470,2_virtual,337.420496,188.10146,87062:24150:6906:8873:31812:53961:78361:45315:45666:73534:15534:4294:,1
38972,307.0,231.0,49:16442,2_virtual,304.06843,229.590614,82250:60697:65910:13378:,1
31147,260.0,212.0,27617:45414,2_virtual,258.780579,213.445753,31437:,1
65197,310.0,173.0,10197:13,2_virtual,304.882234,179.464997,63958:75670:95928:83817:93376:44484:,1
4058,266.0,196.0,49:10197,2_virtual,264.577206,200.838141,87866:,1
92628,299.0,243.0,49:98213,2_virtual,298.441172,243.817913,N,1
72076,289.0,200.0,47468:54110,2_virtual,292.873077,204.893878,17467:78455:19087:24699:39639:46526:44879:86364:59616:44459:,1
62938,256.0,143.0,70481:10197,2_virtual,255.137437,140.235728,56467:34071:,1
38584,261.0,200.0,2080:27617:10197,2_virtual,261.770066,199.201212,69081:71162:,1
45156,234.0,164.0,47468:10197,2_virtual,234.422616,166.5628,74798:32122:8300:83557:34794:,1
82575,297.0,223.0,49:80781,2_virtual,299.489077,219.407513,32124:95073:54539:,1
20602,294.0,251.0,49:52711,2_virtual,293.130126,249.97533,N,1
25555,236.0,182.0,33:52711,2_virtual,234.8195,180.374359,N,1
77035,277.0,211.0,49:22899,2_virtual,276.735225,213.986068,97725:,1
93136,298.0,175.0,70481:55554:54110,2_virtual,298.582565,174.489873,5857:37794:18174:24948:44013:,1
23204,341.0,216.0,88:58286,2_virtual,341.921345,209.633834,15371:59817:45130:,1
97472,279.0,220.0,16442:84,2_virtual,279.811783,220.553072,53852:88785:43841:31837:71746:,1
97191,355.0,133.0,94371:92,2_virtual,380.579236,129.452811,55250:,1
64007,340.0,169.0,55506:94371,2_virtual,347.193365,169.198675,85134:82342:,1
33584,358.0,225.0,13:70591,2_virtual,346.41377,220.500919,81134:3369:5602:95439:14638:22631:87890:19994:52690:4178:90296:4518:50482:46562:11300:,1
96773,227.0,170.0,33:53486,2_virtual,225.653122,168.927674,N,1
81242,272.0,224.0,49:33156,2_virtual,270.507656,222.10376,60058:1842:,1
