X,Y
13.948792,16.375364
85.62596,35.757746
399.250741,216.457314
205.898654,103.486856
201.985711,99.925687
196.52062,97.289584
192.084252,95.167842
188.78294,90.762388
233.787602,176.484897
234.8195,180.374359
239.105846,185.930734
240.375874,190.296456
247.361031,193.392151
253.234912,196.646599
259.505678,196.964106
266.014574,190.375833
259.065212,147.523883
256.200862,151.74229
250.836714,157.262675
292.873077,204.893878
288.446353,211.872477
281.103199,222.600773
276.311922,228.58987
272.978859,230.360559
267.250157,233.22491
259.282055,236.453814
254.126223,241.34925
246.001883,247.442505
244.804064,252.181704
245.376934,255.931399
252.303455,260.983072
256.990574,265.618113
257.355128,270.201074
260.427795,274.263244
260.323637,280.668974
264.281649,284.93946
267.823028,284.002036
271.312328,281.137686
276.468159,281.137686
282.76973,280.773132
287.092296,277.492148
293.8105,275.356905
301.98692,272.75295
317.921294,257.472243
319.322227,252.825245
323.730041,252.620231
324.14007,249.852533
327.249459,249.579181
333.63908,250.296732
337.397681,245.239705
342.283863,235.228159
347.233413,231.469558
346.41377,220.500919
377.269348,207.599262
376.158073,201.72538
370.982585,196.327759
367.109121,189.263226
368.141019,182.992461
370.982585,179.261752
374.094277,172.594103
373.541117,164.691726
381.396941,63.133526
379.571275,66.626105
380.047535,69.721799
377.031218,74.087522
375.523059,78.532621
371.55422,82.183953
368.458526,87.819704
367.823512,93.376079
369.807931,96.313019
372.030481,100.361235
372.903625,107.028884
374.253031,113.458403
376.783581,117.837657
380.448407,122.916977
380.579236,129.452811
380.058282,139.488144
379.264514,145.123895
375.613182,149.886502
373.073125,154.252225
370.982585,159.940167
366.803398,162.190499
360.502469,163.990764
356.323282,163.797879
349.636582,164.698011
347.193365,169.198675
344.59524,175.541663
340.699551,181.671941
337.420496,188.10146
337.034725,194.273799
339.156466,200.381842
342.238159,205.594444
67.98446,50.252314
78.462194,41.520868
147.226992,87.001654
198.865557,118.312894
216.991779,130.219811
294.045902,186.563746
298.542306,180.289302
295.605502,173.922491
293.251576,166.883131
292.511771,160.224882
289.701592,155.541243
284.986256,152.807715
279.5192,149.800834
278.801649,146.349755
273.595503,142.476988
269.222541,140.679926
262.142103,140.679926
255.137437,140.235728
248.337786,138.117243
242.392363,134.597826
231.048222,125.269662
221.105013,119.973451
211.571835,116.146512
202.551192,111.362838
185.008582,88.917146
177.977903,85.479925
173.463229,83.081505
167.051249,77.555392
161.018927,77.049183
154.986604,78.019417
149.966699,78.863098
143.639088,73.379168
135.818261,65.49363
132.016486,63.77502
126.339864,58.358793
121.600666,55.65068
112.64306,49.609504
102.487635,48.307526
96.081905,42.110113
91.342706,40.026948
389.688204,214.525514
376.772586,212.234033
362.971623,211.452847
347.233413,210.050467
341.921345,209.633834
335.463536,209.477597
323.5895,208.748489
287.394523,193.228916
273.541481,183.542203
263.170432,177.010396
253.54014,169.247201
244.948061,162.320933
239.844309,158.206684
233.021946,153.415407
222.970679,147.009677
213.368771,138.99126
194.916052,125.424975
185.207478,118.609685
172.199352,111.307596
155.794434,103.027019
142.813712,97.329134
130.790511,90.706729
115.938322,83.891439
98.845842,77.006939
89.400006,72.164956
75.350316,65.576683
62.373878,59.31299
54.848544,55.263005
47.679196,49.139187
40.808572,41.372393
35.470789,35.855953
23.83336,26.340265
298.582565,174.489873
302.782344,177.268189
304.882234,179.464997
306.077556,181.726417
304.94565,184.788307
302.353193,188.696934
299.242245,195.277785
295.831338,199.530488
294.565218,214.523345
297.421106,215.606612
299.489077,219.407513
303.034402,220.18588
303.920712,217.52695
307.61367,210.781147
309.788537,205.727901
303.034402,224.469712
301.552546,226.93547
304.06843,229.590614
313.670121,231.954107
318.76181,234.17121
326.68936,238.011887
333.435164,238.898196
339.994533,239.670142
277.164871,234.213182
280.994605,236.462391
284.216445,236.64476
290.842493,240.474494
294.611438,242.966861
298.441172,243.817913
304.155379,246.127911
305.371168,250.930276
303.182748,255.307116
302.149328,258.225008
306.404588,261.082112
310.950798,262.358424
295.44438,246.774766
293.130126,249.97533
289.092492,249.827612
284.759421,248.20271
293.130126,253.126654
291.505225,255.687105
273.363666,276.840731
274.275508,272.403103
274.518665,267.600737
275.06577,264.682845
277.314979,262.798372
281.266292,263.831792
286.372605,264.865213
292.573127,265.16916
296.767598,265.655475
301.569963,267.904684
307.923938,268.482463
307.923938,273.918555
306.577436,280.240657
307.923938,286.380389
311.136643,291.66907
316.303745,293.979068
319.647164,294.89091
261.770066,199.201212
265.933747,202.618602
268.561728,205.911047
271.616588,208.929101
273.744884,211.031755
276.735225,213.986068
280.748847,214.235562
283.720998,215.043212
285.440157,216.278109
279.811783,220.553072
276.953019,219.280629
274.5136,219.099302
272.510628,221.037662
270.507656,222.10376
268.21393,220.294624
271.998577,212.799359
269.603088,216.159457
267.40628,218.259346
265.241779,218.679324
261.914261,216.256375
258.780579,213.445753
261.235835,210.021317
264.143375,205.369254
264.692577,203.237058
264.577206,200.838141
257.143707,211.297404
255.016972,208.227254
253.078613,204.7059
250.817193,201.830667
248.309855,201.032938
246.268762,200.090895
242.978708,197.780834
240.061155,195.688199
235.861375,194.202123
231.273923,192.037622
227.235674,189.679284
225.784262,192.164578
224.174105,197.043955
223.632471,200.441476
223.287795,203.888237
225.45433,186.851391
224.56802,183.109193
222.647682,180.401024
217.132865,175.526319
213.439907,171.93184
208.714754,170.946491
204.72636,170.060181
206.892895,165.973307
213.737177,162.378828
217.627093,164.496124
223.092671,167.893645
225.653122,168.927674
229.198362,168.632237
232.021775,166.358449
234.422616,166.5628
220.826276,151.866765
218.561262,155.067329
215.656135,159.449639
211.594265,141.393216
210.584473,143.939215
210.732191,148.124568
208.664134,150.143385
204.67574,149.404793
202.361486,148.272286
200.588866,148.173807
204.429543,152.014483
206.842275,155.116568
208.319458,157.283104
208.664134,160.582146
208.911712,162.083391
198.726035,146.310976
196.093096,143.678037
192.492036,141.851689
189.810638,140.720979
192.340638,136.631575
195.118954,131.074943
197.61645,127.353831
197.795781,170.060181
192.594516,168.023438
190.048881,166.798519
185.483222,166.743925
180.057521,165.995293
174.692306,163.385947
169.022195,159.37376
161.976877,154.598738
158.985581,152.325353
154.662183,147.809652
149.27785,144.259981
144.092937,140.630541
139.372769,139.748449
134.147972,139.868101
127.285448,135.986774
122.730302,132.691562
119.848849,130.195984
116.191909,127.655012
111.055532,127.443883
107.222978,125.154318
103.593539,122.721398
100.163067,119.908874
169.370486,116.34701
166.796013,120.933241
164.568576,123.420059
164.988554,127.038331
78.320376,32.005988
68.866403,28.411509
62.809952,23.635283
58.870797,23.389086
55.118734,20.320715
52.178889,15.280979
51.629687,9.821266
48.302169,8.205966
47.882191,4.813836
47.882191,0
212.048528,106.100685
225.588348,108.477742
234.143898,111.40464
241.498669,115.907561
243.600032,117.70873
241.498669,125.513793
240.44936,129.275759
