cluster_count,noise_num,silhouette,calinski_harabasz,dbcv,eps,min_samples
142,1614,0.9925556937156352,37864781.50716524,-1.0,0.02,2
40,1818,0.9922451637782781,3662904.0625602226,0.9150364061962311,0.02,3
6,1923,0.9954795189659935,819322.2298411914,0.9813476420073589,0.02,4
2,1939,0.9903212810687424,43789.3224496902,0.9766002147758152,0.02,5
0,0,-1.0,0.0,-1.0,0.02,6
0,0,-1.0,0.0,-1.0,0.02,7
0,0,-1.0,0.0,-1.0,0.02,8
0,0,-1.0,0.0,-1.0,0.02,9
0,0,-1.0,0.0,-1.0,0.02,10
0,0,-1.0,0.0,-1.0,0.02,11
0,0,-1.0,0.0,-1.0,0.02,12
0,0,-1.0,0.0,-1.0,0.02,13
0,0,-1.0,0.0,-1.0,0.02,14
0,0,-1.0,0.0,-1.0,0.02,15
0,0,-1.0,0.0,-1.0,0.02,16
239,1078,0.968619274531587,6046208.419803252,-1.0,0.05,2
108,1340,0.9615395708539777,1579181.6139740695,0.30863741334849376,0.05,3
57,1527,0.9588847442143573,635556.4111020949,0.37527728604730487,0.05,4
37,1654,0.9635626419089294,369787.9706130795,0.5165545738235167,0.05,5
22,1761,0.9678001702114868,215942.83758402802,0.5687439144293237,0.05,6
13,1829,0.9711034313549775,111469.16640161502,0.6472246226938393,0.05,7
2,1927,0.9476835831605098,3221.7955518172134,-0.1291664294313668,0.05,8
2,1928,0.9510342740611901,3581.729502181584,-0.2697789384242706,0.05,9
0,0,-1.0,0.0,-1.0,0.05,10
0,0,-1.0,0.0,-1.0,0.05,11
0,0,-1.0,0.0,-1.0,0.05,12
0,0,-1.0,0.0,-1.0,0.05,13
0,0,-1.0,0.0,-1.0,0.05,14
0,0,-1.0,0.0,-1.0,0.05,15
0,0,-1.0,0.0,-1.0,0.05,16
228,771,0.919501969293863,869064.6123599451,-1.0,0.08,2
117,993,0.9070052949300043,318827.3217296592,0.1345151784047313,0.08,3
64,1205,0.8970611105403041,121623.87991053653,0.23808648731281684,0.08,4
45,1346,0.9220649202836028,112095.27732766804,0.1962557894520912,0.08,5
38,1430,0.9218867268746794,154252.22388723533,0.14530746644392623,0.08,6
31,1517,0.9329104273084533,162598.2687348958,0.22462799404183614,0.08,7
27,1584,0.9476958593548666,155436.31504670918,0.3623403063569852,0.08,8
17,1705,0.9382058443748116,99220.78011104187,0.3059241038532028,0.08,9
9,1796,0.9255150740712348,53157.12706102755,0.7225337156458908,0.08,10
6,1845,0.9640160180966193,50013.149739696084,0.8622481615927037,0.08,11
3,1895,0.9396892068289259,19136.17017752478,0.9007885764831338,0.08,12
3,1895,0.9396892068289259,19136.17017752478,0.9007885764831338,0.08,13
0,0,-1.0,0.0,-1.0,0.08,14
0,0,-1.0,0.0,-1.0,0.08,15
0,0,-1.0,0.0,-1.0,0.08,16
221,555,0.8527851838563812,279264.8670585961,-1.0,0.11,2
107,783,0.8316110926023105,95606.07869809397,-0.0267515194283608,0.11,3
75,928,0.8563173244766169,69999.04481286174,-0.05015620038220175,0.11,4
50,1088,0.8475130226158497,36815.48326063374,-0.10211329360004168,0.11,5
34,1227,0.8308680972424896,26535.02980059337,0.12717485746404023,0.11,6
27,1312,0.8419168847100936,35878.00189764288,0.19305997740130115,0.11,7
25,1377,0.8885166979918675,40842.649671366584,0.06394822763511859,0.11,8
21,1439,0.8811228781247192,37754.54762546816,0.39966092295623307,0.11,9
20,1514,0.8967924489927037,45224.9497090022,0.30570621024313593,0.11,10
19,1568,0.91392479890111,57588.278896117714,0.07990854870144172,0.11,11
16,1642,0.9150612858697568,65565.63233316883,0.22292408027448124,0.11,12
11,1711,0.9409529830903046,49239.2270995315,0.6656138146942214,0.11,13
6,1785,0.9341523014769271,44251.297414746594,0.7960714872996412,0.11,14
6,1802,0.937695606914391,40595.629469789514,0.8216260592333957,0.11,15
4,1838,0.909853388360719,22244.606935934728,0.8590736230856608,0.11,16
189,400,0.583666608193422,14043.831992956899,-0.1524075998987954,0.13999999999999999,2
101,576,0.5365001456640174,5598.295108384875,-0.21437343664325467,0.13999999999999999,3
57,753,0.4860850162618546,2687.697064615616,-0.22917299453460782,0.13999999999999999,4
49,852,0.7378853600043571,11884.913126590862,-0.19289480158074218,0.13999999999999999,5
42,966,0.749238112121115,10116.202766292896,-0.1873006995560009,0.13999999999999999,6
36,1081,0.7745214080249249,7836.338603544356,-0.10498674049854351,0.13999999999999999,7
23,1205,0.7448432606086117,4681.350500919263,0.04463750581946243,0.13999999999999999,8
20,1261,0.7439854442014926,7192.342180476882,0.04898427741176192,0.13999999999999999,9
23,1290,0.8463370856200096,20028.604355293268,-0.11505588941098305,0.13999999999999999,10
19,1378,0.8655622896852536,25689.119238678904,-0.0533626907431838,0.13999999999999999,11
17,1447,0.8651388219157529,25069.420083865487,0.20855124410619125,0.13999999999999999,12
15,1499,0.8868193125633269,31058.34841050754,0.3756132896015413,0.13999999999999999,13
14,1541,0.8853121720982896,32166.55672156816,0.3095718791491549,0.13999999999999999,14
13,1596,0.8938882272663347,34200.93727947655,0.22894954421449637,0.13999999999999999,15
9,1686,0.8932119004197504,32238.75278036469,0.4086054072813746,0.13999999999999999,16
154,319,0.5193870038693658,8498.022747555175,-0.22676557180890122,0.16999999999999998,2
91,445,0.47649556632221374,4493.270626070285,-0.2375345384721249,0.16999999999999998,3
50,617,0.4317068886739058,1832.8255098941536,-0.20428176045800656,0.16999999999999998,4
38,731,0.4366401021798684,1472.542900357602,-0.25699880381869356,0.16999999999999998,5
30,831,0.4045371143701999,1111.326655615062,-0.2447978887656577,0.16999999999999998,6
27,914,0.41225522861558356,983.9803557118162,-0.256495753585071,0.16999999999999998,7
35,963,0.7023125152696622,6294.526653165027,-0.29215982885248387,0.16999999999999998,8
24,1106,0.7028011234790618,4551.5246571655525,-0.25250590473945667,0.16999999999999998,9
20,1165,0.7165999612227898,3930.084622691324,-0.16846526335591866,0.16999999999999998,10
18,1221,0.7113026021326787,3287.070354367981,-0.005348547784336879,0.16999999999999998,11
16,1288,0.7508677375577508,5978.451083254551,-0.022620769590296498,0.16999999999999998,12
15,1360,0.7801144738380981,8796.113541073215,-0.14289924985869298,0.16999999999999998,13
13,1408,0.7981716934989758,11320.759184705128,0.07371977818942936,0.16999999999999998,14
13,1445,0.8429451692793655,21124.765689484266,0.1651378309432017,0.16999999999999998,15
14,1478,0.8533242721254469,20628.129992149105,0.19902658809172402,0.16999999999999998,16
127,247,0.4289276789899183,3416.961164281269,-0.32721523714295436,0.19999999999999998,2
80,341,0.39270123598351264,2040.0957893440418,-0.2913330944481311,0.19999999999999998,3
56,472,0.35838473701916584,1278.9863107304532,-0.3127302909943712,0.19999999999999998,4
40,601,0.3325788956711086,865.1288485433015,-0.29378741691132065,0.19999999999999998,5
32,692,0.30066765570180076,613.4020363866464,0.021926446165837304,0.19999999999999998,6
25,785,0.2821559334708019,490.2898300915791,-0.27323850264612565,0.19999999999999998,7
22,853,0.37993242224755225,873.622219412138,-0.24214412656658055,0.19999999999999998,8
20,939,0.4456951657745068,688.1786579452806,-0.22530979298228865,0.19999999999999998,9
16,1005,0.4506242623825087,755.8380560493773,-0.2634527416106629,0.19999999999999998,10
16,1095,0.6572458663570168,1823.1501995114736,-0.3440597882610822,0.19999999999999998,11
18,1121,0.7028318792472715,4170.542527891162,-0.2025670848522566,0.19999999999999998,12
16,1179,0.6890066325189643,3271.1427116527175,-0.23254908392392276,0.19999999999999998,13
13,1253,0.6916240143821384,3157.79397323101,-0.12632998988242458,0.19999999999999998,14
12,1296,0.7219155507906386,2737.80131458584,-0.13701919788012706,0.19999999999999998,15
11,1343,0.7095064312639519,5837.5911202038515,-0.09290280841228049,0.19999999999999998,16
106,208,0.40986906815018836,2662.6991064265126,-0.3389072756641661,0.22999999999999998,2
76,268,0.39101220429597666,1893.4024700807329,-0.365589887000003,0.22999999999999998,3
59,361,0.3561199500682955,1437.3075186100475,-0.37782475444385066,0.22999999999999998,4
34,507,0.30919961604502866,710.0208802118265,-0.16281468375913044,0.22999999999999998,5
30,579,0.2958831066604042,570.1802744774184,-0.14662418187173237,0.22999999999999998,6
27,644,0.2739772824739118,532.2528004617919,-0.10682127158077037,0.22999999999999998,7
22,744,0.27434429959503825,440.70775738864745,-0.028446849195665876,0.22999999999999998,8
19,791,0.2453577618214926,381.1379674595042,-0.0045243548796910175,0.22999999999999998,9
21,857,0.3824497048964949,872.3859339367943,-0.2362957332896628,0.22999999999999998,10
16,967,0.4233223514491815,701.4796965896335,-0.29498897557805687,0.22999999999999998,11
16,997,0.42162192111856517,668.295291454259,-0.31695383789156645,0.22999999999999998,12
15,1037,0.43520470592263555,804.9254966470156,-0.13623388007082946,0.22999999999999998,13
15,1087,0.42524524321843676,620.45179707993,-0.06723782389637568,0.22999999999999998,14
11,1179,0.4222261357292765,441.37342529292175,0.12142525529253383,0.22999999999999998,15
12,1210,0.6564409991908834,2254.9416751717995,-0.22405510739019974,0.22999999999999998,16
86,178,0.29580519998965477,1504.2281052075707,-0.402761653665279,0.26,2
63,224,0.27983987138064154,1169.9206073095704,-0.4280914910325343,0.26,3
48,293,0.27837421470260526,975.3844571743806,-0.45391957873656735,0.26,4
33,410,0.2503040988594405,587.9479411235858,-0.23972900938875114,0.26,5
32,470,0.2500923906741662,526.9011467565795,-0.21028487692375752,0.26,6
27,544,0.22002557154980265,446.81578079412134,-0.17912397836043045,0.26,7
23,630,0.2701766416388687,473.2721342357411,-0.142548451877046,0.26,8
21,690,0.26332276890752565,425.05463399707844,-0.13380491746282888,0.26,9
18,746,0.23819692775550197,364.3746186647443,-0.07117036545228918,0.26,10
18,798,0.2451641470496132,370.4286758745668,-0.2620578467919741,0.26,11
14,889,0.3217931794232858,745.020935332941,-0.17730844857339675,0.26,12
15,939,0.3431261370898296,704.9402899232343,-0.26032260856233785,0.26,13
17,953,0.4260563939726043,805.8613528689176,-0.35470732651237674,0.26,14
18,980,0.4253722462568246,756.1251087306097,-0.3641025812257326,0.26,15
14,1064,0.3933482967552564,584.7761473175116,-0.3673941569116103,0.26,16
73,156,0.25199833925057424,1016.5365939292267,-0.40055863367502076,0.29000000000000004,2
50,202,0.2339853808992587,764.342271657537,-0.41301642796085253,0.29000000000000004,3
40,260,0.23485235850999153,661.2420192223427,-0.34147775452524376,0.29000000000000004,4
35,349,0.25182008956449886,656.1257420510186,-0.3348696098021786,0.29000000000000004,5
28,418,0.2359871769722383,498.60859877409695,-0.3180675634778277,0.29000000000000004,6
25,482,0.23006352270207373,448.5435614189492,-0.2361925614974289,0.29000000000000004,7
24,543,0.2226482522639632,403.2371454551021,-0.2290371382527341,0.29000000000000004,8
21,597,0.20913527431776144,342.1618748358801,-0.20454153443168685,0.29000000000000004,9
21,659,0.25519552434859605,409.7785548684659,-0.18621964390429668,0.29000000000000004,10
16,726,0.24503362370098994,377.7183266464058,-0.14983155787254773,0.29000000000000004,11
17,760,0.2363575652219128,347.4381350477219,-0.09189277294191268,0.29000000000000004,12
14,840,0.31291060551737476,769.9859016202273,-0.29028618898728337,0.29000000000000004,13
12,898,0.29049268540837675,742.1139266087524,-0.31853560646736057,0.29000000000000004,14
14,917,0.3820957931037637,655.7230444842604,-0.3116287902948202,0.29000000000000004,15
13,943,0.37532323840182136,640.9681375328732,-0.283507362928528,0.29000000000000004,16
61,143,0.18804857863206845,581.9621054526216,-0.26018543336436867,0.32,2
41,183,0.17728432689520193,432.67951557946645,-0.26644839176728174,0.32,3
35,235,0.165988425312662,396.2680388910491,-0.3008977302883015,0.32,4
29,300,0.16966854211876412,364.7478620271402,-0.38624303756929373,0.32,5
24,352,0.1645471975907055,313.1544540567259,-0.29020356511369244,0.32,6
24,402,0.21110982866736921,418.2803719655991,-0.3467240440422289,0.32,7
21,456,0.2112651188911625,427.4801567158098,-0.27059815965821793,0.32,8
22,520,0.22323443973683282,436.1251944708462,-0.27698380090618163,0.32,9
22,552,0.2204171886975933,402.7554568193484,-0.23099900798176345,0.32,10
17,629,0.18564485115535562,309.2159067012064,-0.20044135912381678,0.32,11
15,702,0.19048784330148485,288.43022177842624,-0.1855404411699709,0.32,12
15,741,0.23037405401353725,358.37601316725085,-0.13660716441109402,0.32,13
14,805,0.3056924345366814,765.2244204304093,-0.35799608782007275,0.32,14
12,855,0.3370816234024853,699.1027397131737,-0.36583630007370643,0.32,15
11,891,0.33898383704472174,711.2838907424737,-0.2596894889244758,0.32,16
57,125,0.19461103590659268,533.1765801575486,-0.33404377597766205,0.35,2
41,157,0.18542266250485664,420.43134322679157,-0.34386817518531526,0.35,3
34,206,0.16703851475415407,337.80444563485554,-0.34596330987247664,0.35,4
24,256,0.14892275826753623,287.63281612962567,-0.3259591946593862,0.35,5
25,299,0.1556666195439697,300.76252946493224,-0.32424941663678614,0.35,6
26,327,0.2170897981244612,478.26097176743116,-0.3610827479626592,0.35,7
20,401,0.20067699928620653,407.8088302652406,-0.33555662451833046,0.35,8
23,447,0.23653194573396397,466.4334743781006,-0.35932050786185477,0.35,9
20,496,0.2250333118851156,428.68829430234223,-0.28307983878026133,0.35,10
19,537,0.21663486188324144,391.5121864121101,-0.1975263748292504,0.35,11
19,600,0.2001238300600415,322.35268886246905,-0.20046072395886697,0.35,12
14,672,0.16983344496587252,263.4148621863754,-0.1435735176442859,0.35,13
14,703,0.18419788172371312,284.34651252723853,-0.16165536085025614,0.35,14
13,753,0.22099022213363304,339.01578882056674,-0.12583321830981323,0.35,15
13,809,0.3151567245399435,831.7532887070281,-0.353959986857623,0.35,16
58,105,0.19897449854279403,581.4028092512223,-0.34580391543414013,0.38,2
40,141,0.1898787937378588,442.8995557790559,-0.35499059206153155,0.38,3
33,175,0.16482791833172522,363.6111537365387,-0.3635739064960517,0.38,4
27,220,0.16168859513937886,293.489504872712,-0.32656599057065316,0.38,5
25,265,0.16771846554909436,293.9489415991606,-0.33109889448612806,0.38,6
23,308,0.1595023476481622,323.558877938685,-0.3393810878941025,0.38,7
23,349,0.2076633734128846,433.3291678217994,-0.3731275232610925,0.38,8
21,397,0.2294773329777607,464.2644662166097,-0.3828702909776771,0.38,9
22,446,0.24282397218333332,496.58015463356685,-0.39348447689517596,0.38,10
19,486,0.2244861068176204,427.68729293834275,-0.3389487217728783,0.38,11
16,552,0.20118683230007123,338.178229853686,-0.3344089593240756,0.38,12
17,577,0.19531106803824957,298.6379606373782,-0.20904875957093672,0.38,13
14,651,0.17376403499579215,275.3016883127597,-0.1901772247017587,0.38,14
13,681,0.16053254283156362,245.3009345120708,-0.18297697771202148,0.38,15
13,712,0.17823683629085063,276.2003940937229,-0.19417047987766442,0.38,16
55,99,0.19891657890293404,467.78367596994565,-0.3419084944740092,0.41000000000000003,2
40,129,0.19232494754938062,381.49819708692877,-0.35319323033773364,0.41000000000000003,3
30,165,0.17300319384517984,307.8623805552524,-0.3376460048743286,0.41000000000000003,4
27,191,0.1530606424521405,267.50015288497406,-0.34963700312413926,0.41000000000000003,5
23,241,0.1489917898713461,211.19999150808624,-0.2981515306036726,0.41000000000000003,6
21,288,0.14033975341629074,237.21422395091793,-0.3211835536716885,0.41000000000000003,7
20,313,0.14700519057157918,259.2750301122485,-0.3267555940205631,0.41000000000000003,8
17,368,0.183029018978854,337.2662260240502,-0.37856619061491315,0.41000000000000003,9
17,409,0.17719676502348797,322.7503657418043,-0.37669805225134106,0.41000000000000003,10
17,446,0.19705392832336363,402.2090367641634,-0.3637460549176772,0.41000000000000003,11
17,460,0.21117549043840952,421.826862225206,-0.3409212501638107,0.41000000000000003,12
15,536,0.195457528236388,331.4712949826483,-0.3561776525540393,0.41000000000000003,13
15,593,0.18934746513565323,324.6827286527969,-0.26013652565419687,0.41000000000000003,14
13,640,0.1654349977814096,282.16786179149415,-0.25752855795186547,0.41000000000000003,15
14,654,0.16908607740422057,263.8173873895373,-0.23542448717634645,0.41000000000000003,16
46,86,0.18461895246948193,336.62448097974084,-0.3549432644978191,0.44,2
35,108,0.17555408942884487,283.5369221104394,-0.3581160801030618,0.44,3
29,141,0.1675066649181869,265.3066459748446,-0.3748488877473384,0.44,4
25,176,0.16763740138330258,278.47940295411934,-0.36700720411308807,0.44,5
23,205,0.16489027306927795,240.86729522132939,-0.3660702673226408,0.44,6
20,251,0.13503509104376224,187.59766958310396,-0.36118333682206055,0.44,7
19,281,0.13919470034071704,230.6430162812577,-0.38074084590806534,0.44,8
15,337,0.12113329196073415,209.99832454255127,-0.3480053206100534,0.44,9
16,377,0.11894551641618682,207.1431711264513,-0.3450773036116267,0.44,10
16,415,0.1242782608415924,236.03018967947358,-0.34157439733994627,0.44,11
17,438,0.19738685683005402,420.5647556689968,-0.34344887350673814,0.44,12
16,479,0.1996735903327659,360.90397904656993,-0.3637978615277432,0.44,13
14,526,0.1880660875975774,331.6190202599026,-0.3772603206015068,0.44,14
15,569,0.19153425176861366,341.0915761517225,-0.3030890684164317,0.44,15
13,613,0.1750491107584338,306.64806660787804,-0.2831211530363145,0.44,16
44,79,0.18195713800557528,310.55750579045383,-0.37644907061311994,0.47,2
35,97,0.17449292555167553,272.37006469138913,-0.38055346291648595,0.47,3
27,128,0.1639786950718616,240.39199880310295,-0.3933922398446921,0.47,4
24,168,0.16613713192443388,279.80723405781384,-0.3847402825559521,0.47,5
21,191,0.1626745701388174,258.65723261244693,-0.3792303294980336,0.47,6
20,235,0.13816654498639952,210.23934114403977,-0.36788552680866227,0.47,7
20,253,0.1399715039390949,243.73949520801338,-0.37767344240229656,0.47,8
14,310,0.11784252754842209,202.69088726284141,-0.3918558827854269,0.47,9
14,350,0.11485117125230612,199.96837185080645,-0.3490002036995779,0.47,10
16,381,0.11625670665278019,192.74105283496553,-0.3637638549320456,0.47,11
15,405,0.14006368622665116,208.45989930373528,-0.3230280931732724,0.47,12
15,433,0.18500251048004077,312.69289445424306,-0.3409878240513523,0.47,13
13,485,0.18434813144167264,343.0673211556152,-0.32667463382780304,0.47,14
13,514,0.17693362720259545,324.1971368921609,-0.37760939374197494,0.47,15
14,556,0.18809493035472286,329.342246592629,-0.39857840054118027,0.47,16
44,70,0.1584370018152512,247.16550698834783,-0.3704573672030818,0.5,2
33,92,0.18094029622657565,196.5979729119211,-0.3757947466669331,0.5,3
24,124,0.17003480118121964,170.4276736267368,-0.38825704424550334,0.5,4
22,149,0.17057705016890273,178.9340238453915,-0.3552698226775822,0.5,5
21,173,0.17225343741686752,205.7038984524545,-0.33223265845676436,0.5,6
20,207,0.1409075648320177,236.99191455878548,-0.3722602724524178,0.5,7
20,222,0.1409462586013551,223.54324301698077,-0.371962847164543,0.5,8
16,279,0.12884651676241848,219.01041431319908,-0.38027195718612705,0.5,9
15,320,0.11591060801089009,191.33481810641482,-0.31561758148914665,0.5,10
15,349,0.11407295116913918,208.54301009661563,-0.3273661745339156,0.5,11
16,371,0.11956711359072375,207.40459549189993,-0.33678390917734846,0.5,12
14,403,0.11510910372260234,216.62085985219844,-0.2816883927345516,0.5,13
12,454,0.1252043390682531,190.57527702478663,-0.30763330068237255,0.5,14
11,482,0.09508593816023797,191.75723977015403,-0.3143971456543801,0.5,15
13,508,0.17671141078901093,319.3012375756981,-0.34438675688716874,0.5,16
39,64,0.15621203266597072,231.50761069790218,-0.3756181486427241,0.53,2
30,82,0.18108936427326414,195.64842049455697,-0.38095348998938516,0.53,3
22,111,0.1715522025215085,176.29466281990057,-0.3894297798659656,0.53,4
22,134,0.17724076974996453,180.13017708306754,-0.35835800870182877,0.53,5
20,165,0.17425731059566182,193.5506610734303,-0.37381980630309913,0.53,6
19,184,0.14875185702045518,200.80323772515345,-0.35394711912756,0.53,7
19,203,0.14461305973695374,185.5517777543749,-0.340299660050002,0.53,8
16,240,0.13479956692984094,190.2186086143104,-0.374097862389803,0.53,9
16,284,0.1233768342374492,206.91288166828843,-0.3557963584968835,0.53,10
15,312,0.12102882639575084,214.95812811795926,-0.33169805519041473,0.53,11
15,328,0.1282087309770469,216.90347965012404,-0.3635569922386943,0.53,12
15,367,0.12187744719633532,211.89615396323816,-0.34158124947971746,0.53,13
12,418,0.11087615955596937,179.59548300182314,-0.31795822498168524,0.53,14
12,447,0.08754091576970553,172.28533379781857,-0.3138721710873803,0.53,15
14,469,0.1972319697381277,304.06062711527005,-0.35733454682720345,0.53,16
38,58,0.15643937728523144,236.2144950555855,-0.38046689050311205,0.56,2
31,72,0.18207230538445549,204.40296222651355,-0.3861923641407293,0.56,3
22,104,0.1726554061594575,180.4883978552253,-0.3976099211991488,0.56,4
21,125,0.16813149477889022,172.83263390897278,-0.3558468577619194,0.56,5
19,153,0.16632487295173667,173.28619295656773,-0.37572878130032006,0.56,6
20,164,0.14931247082667168,204.5620738851294,-0.390896370610828,0.56,7
18,194,0.14343304533798143,196.5733614449224,-0.3612488458755649,0.56,8
17,215,0.1399990495730089,157.02149786377527,-0.36373218876172925,0.56,9
17,240,0.09152614318591493,178.3223346245994,-0.3385649366336107,0.56,10
12,297,0.06328221335479357,155.52320782116746,-0.3397680647300478,0.56,11
14,315,0.12714737486193664,224.5368301714595,-0.44837186994021977,0.56,12
16,320,0.13050015833324335,234.71832592664802,-0.39358769120486947,0.56,13
14,364,0.11797727771044701,210.97813487442235,-0.4030837162406897,0.56,14
11,418,0.114604686827558,180.25578164050629,-0.35582722215054824,0.56,15
12,428,0.09007119833961007,180.0315660201855,-0.34238030689413695,0.56,16
37,52,0.13804016664968155,211.91410485731768,-0.3750470249613712,0.59,2
29,68,0.16575072182857561,183.32786682980435,-0.38642000467038645,0.59,3
23,89,0.15890913783230287,170.74428418656342,-0.3936462887969732,0.59,4
20,113,0.15275658700823505,154.93992403628022,-0.3955688814221954,0.59,5
17,141,0.1619113372767842,162.27915008711705,-0.3599824055242609,0.59,6
20,153,0.16563868464455267,216.7984224744827,-0.40161848799884003,0.59,7
18,176,0.14811556757901087,203.3238180816191,-0.3977735386959328,0.59,8
17,200,0.13446264661640833,173.40647076979718,-0.3826527869528734,0.59,9
16,221,0.13005057105298037,152.9267818759749,-0.3526244142340888,0.59,10
14,259,0.1286976945546968,129.5994165001717,-0.34913937424608127,0.59,11
11,311,0.06876329802001772,156.6598482838211,-0.3657994278880892,0.59,12
13,311,0.07525590675932817,165.87043202024716,-0.3871031617445167,0.59,13
15,333,0.11881949926846332,224.00512359896632,-0.4037191894447217,0.59,14
11,399,0.10745602967001863,193.8773096030482,-0.40109489947227234,0.59,15
11,409,0.10614464990288668,189.65899041555724,-0.36074180649294296,0.59,16
35,45,0.17184138352549183,202.60261473857926,-0.38041579458856734,0.62,2
31,53,0.16869918598089056,191.0100027371714,-0.3839905909905688,0.62,3
23,81,0.15921905231905034,172.57262709793056,-0.3931945395597562,0.62,4
20,102,0.1543259331605814,159.15312475370095,-0.39873168230716627,0.62,5
17,131,0.162739871588013,165.90996744169422,-0.388312958169232,0.62,6
17,146,0.16562740835358875,181.96235880785878,-0.40987111735743426,0.62,7
19,155,0.14174802164453812,212.64367807936267,-0.4216478792163758,0.62,8
16,182,0.13128065698389446,180.92721047326634,-0.4268843694414153,0.62,9
17,196,0.1359411120796293,174.9512244762108,-1.0,0.62,10
16,227,0.1367392752499966,144.96274732747634,-0.37784136999077417,0.62,11
14,252,0.12550444136090466,133.4016362514918,-0.37691828733217003,0.62,12
12,293,0.07057030607448882,161.0559898391367,-0.3945808314073875,0.62,13
14,306,0.07468055729538038,167.43408967309176,-0.40413566124870576,0.62,14
13,348,0.06378491237735871,146.13826059156256,-0.4236241216713743,0.62,15
11,394,0.10764275084755909,195.55353800350434,-0.46444773922222593,0.62,16
34,41,0.16137591857491654,198.46937588033475,-0.4056508334421362,0.65,2
30,49,0.15546045757817586,178.6561008884851,-0.41016969155189126,0.65,3
23,74,0.14602577646474324,161.10830927736632,-0.41795256989799134,0.65,4
19,98,0.13985405163121753,149.6935119023752,-0.4254477888880979,0.65,5
17,114,0.13338196503480118,141.49857798997886,-0.4299092170473383,0.65,6
15,134,0.13052505750366833,137.20238532893225,-0.4351201665560902,0.65,7
15,152,0.14940352560244713,160.63257824019126,-0.42219391261461037,0.65,8
16,179,0.1310166129307083,179.7133395130903,-0.43588241982094844,0.65,9
15,187,0.13078739925790148,181.81020525123506,-0.4361831827258712,0.65,10
17,202,0.13662262128812047,161.42664335351105,-0.40049526341813385,0.65,11
16,216,0.1387627856412752,154.84792166643396,-0.3983284782579178,0.65,12
12,272,0.11494787253828452,127.08769578270916,-0.4047132438663519,0.65,13
12,300,0.06682051951801934,163.5246146200477,-0.4222589678447471,0.65,14
13,319,0.06167269204080684,157.15747501400728,-0.40891510869773123,0.65,15
11,366,0.05748767813244727,145.870672076915,-0.431478221763348,0.65,16
34,34,0.16214150168548103,204.59160967218344,-0.4149889442401971,0.6799999999999999,2
30,42,0.15593686787069128,183.65631206658128,-0.41953037723444697,0.6799999999999999,3
24,65,0.1478033443301466,167.0119982685799,-0.42674530238528013,0.6799999999999999,4
20,86,0.1431723402429066,154.09058131679473,-0.43301255059870924,0.6799999999999999,5
17,107,0.1337372376428337,146.40699550166016,-0.437148645470017,0.6799999999999999,6
